Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231)
1.1515387378568639e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199947,0.20128658794568755,0.1676987576445243,8.057127917324488e-80,1.0554122575587398e-51,1.9026017152465633e-29,7.232977393071105e-56,1.0617007726748005e-39,4.219118369624349e-41,1.7238771395289112e-16,1.5484560243047487e-82,1.723877138984034e-16,1.493919529290203e-54,4.850664214863274e-53,2.460428451701737e-58,3.0112481462849637e-77,1.7995423190205867e-40,1.0922977118407478e-54,9.249918201569562e-30,1.7611699959961682e-15,1.4211832414852858e-81,1.2879153171250757e-56,7.53163794476265e-16,1.006325872801512e-15,1.3209894203091283e-23,1.7611699695219217e-15,4.571287020579223e-31,1.587941178727718e-32,3.693171199587211e-39,1.9003245263772486e-30,1.3578847373258014e-43,1.7098576481209975e-55,4.3750114293554056e-66,2.3382310171283392e-67
2.30407794377442e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951998943,0.20128658794568485,0.1676987576445238,1.0330484118219892e-77,1.690293883836406e-50,7.621722471137118e-29,1.1582382948182654e-54,8.502216847435284e-39,3.3779189388137555e-40,3.4492520014063447e-16,9.92543536462552e-81,3.4492519992254144e-16,2.3928675034624194e-53,7.770095866721147e-52,3.9399576419316747e-57,9.645141617989385e-76,1.4407282162856588e-39,3.4993995561567658e-53,3.702377875807265e-29,3.5238701430549544e-15,1.8221767180388577e-79,4.126419478492596e-55,1.5069819419933126e-15,2.0135260513134953e-15,5.287400059347824e-23,3.5238700370889737e-15,3.6598089357227174e-30,1.2713192004694027e-31,2.957577238348688e-38,7.606251695166824e-30,1.087133598075603e-42,2.7380461665621404e-54,2.8049342016252693e-64,1.4991040116765687e-65
4.609156355609533e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199789,0.20128658794567947,0.1676987576445228,1.3234152949349793e-75,2.705778991914233e-49,3.0547692490970027e-28,1.8539980733430586e-53,6.805219300187405e-38,2.703455946960171e-39,6.900001728508326e-16,6.357184320086906e-79,6.900001719781768e-16,3.830666125526724e-52,1.2439387370635206e-50,6.3067107302208065e-56,3.088408975866999e-74,1.1530206995239066e-38,1.1205704030306588e-51,1.4814334049139068e-28,7.04927052550908e-15,2.3343499792643636e-77,1.3212704135484794e-53,3.014618228045571e-15,4.027926408337336e-15,2.115648563698011e-22,7.049270101507123e-15,2.92895908877737e-29,1.0174428947046452e-30,2.3673325524018067e-37,3.0434923993592056e-29,8.700375305101731e-42,4.382804745748026e-53,1.7967351088484055e-62,9.602733331054564e-64
9.219313179279759e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951995773,0.2012865879456687,0.16769875764452077,1.6946873068386948e-73,4.330295633898175e-48,1.22617726415816e-27,2.9672005760409927e-52,5.445553901769271e-37,2.1633262194443575e-38,1.3801501196100757e-15,4.070168347975181e-77,1.3801501161188842e-15,6.130728547603213e-51,1.9908817672460352e-49,1.0093470972672982e-54,9.889247329122784e-73,9.225921595060779e-38,3.587136721959691e-50,5.926698251473184e-28,1.4100071643763579e-14,2.989230436342932e-75,4.229378777787368e-52,6.029890764222743e-15,8.05672712238451e-15,8.463970475840112e-22,1.4100069947479628e-14,2.3436117214818565e-28,8.141107484149727e-30,1.8944609672586857e-36,1.2175959091037562e-28,6.961626135382694e-41,7.014387360490548e-52,1.1504142148877487e-60,6.148490495427757e-62
1.843962682662021e-19,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951991543,0.2012865879456472,0.16769875764451675,2.1696651795808044e-71,6.929318678939967e-47,4.937676073879436e-27,4.7486441226846693e-51,4.3569942470805864e-36,1.7310664669617907e-37,2.7604500184839467e-15,2.6054101939594205e-75,2.7604500045180448e-15,9.81049534943215e-50,3.185877548891741e-48,1.6153374371509072e-53,3.1676193386187077e-71,7.381444740259926e-37,1.1481004565362875e-48,2.370872228880694e-27,2.8201675293657833e-14,3.8270359169994703e-73,1.3536159352369838e-50,1.2060435692867702e-14,1.6114328550476834e-14,3.3858626100877003e-21,2.820166850796952e-14,1.875066503255326e-27,6.513533958192205e-29,1.515945172982269e-35,4.870786178432786e-28,5.5698361224467925e-40,1.122567479847222e-50,7.364247799324889e-59,3.935949926256799e-60
3.6880254121301113e-19,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951983083,0.20128658794560417,0.1676987576445087,2.777487878860304e-69,1.1087606132756586e-45,2.0012061025001394e-26,7.600265864032171e-50,3.485815339288317e-35,1.3853047959072546e-36,5.5210498376532296e-15,1.667623090396387e-73,5.521049781787352e-15,1.569785408979179e-48,5.097786494086864e-47,2.5853683137714918e-52,1.0154377630359292e-69,5.905446776640131e-36,3.674270922817727e-47,9.483874691348362e-27,5.6404888246989656e-14,4.899164152638586e-71,4.331943611374074e-49,2.4121524975320135e-14,3.2229531406653374e-14,1.3543992546890851e-20,5.640486110312969e-14,1.5001229798281077e-26,5.211121846824548e-28,1.213128151442775e-34,1.9483986746974222e-27,4.456090676812873e-39,1.7966835957706717e-49,4.7136097206098315e-57,2.519350546560125e-58
7.376150871066292e-19,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795196617,0.20128658794551813,0.16769875764449257,3.555434481342381e-67,1.774078976434724e-44,8.213433555062962e-26,1.216729097949095e-48,2.788739415398788e-34,1.1088875608401954e-35,1.1042249561677917e-14,1.0673298595459294e-71,1.1042249338209912e-14,2.511740849064008e-47,8.156793164511053e-46,4.1389248036894064e-51,3.2606704135706353e-68,4.724486592948766e-35,1.1758210567107057e-45,3.793626957480594e-26,1.1281133676784439e-13,6.271371079354183e-69,1.3863001535831823e-47,4.824370124087532e-14,6.445993711897402e-14,5.417700040520971e-20,1.1281122819017799e-13,1.2001245726303461e-25,4.169072118186439e-27,9.710056447586934e-34,7.79379264706345e-27,3.5649735471095536e-38,2.8763165608404053e-48,3.0168418982637813e-55,1.6125572635912209e-56
1.4752401788938653e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951932335,0.201286587945346,0.16769875764446035,4.551237625777903e-65,2.8385962768783836e-43,3.4521649431512786e-25,1.948889357685097e-47,2.231025053846685e-33,8.881084544462031e-35,2.208464935247158e-14,6.831070781899186e-70,2.208464845859082e-14,4.018850376944223e-46,1.3051227681087863e-44,6.629500920231674e-50,1.0505959103758015e-66,3.779661386186968e-34,4.359184367325509e-44,1.5174661388395857e-25,2.256243242667756e-13,8.02785149524537e-67,4.436404498283084e-46,9.6488044574589e-14,1.289207485434856e-13,2.167096298752406e-19,2.2562388995123622e-13,9.601073764082542e-25,3.335418375751596e-26,7.775726712586055e-33,3.1175802831297385e-26,2.8520389101166677e-37,4.607124097063261e-47,2.551221906256023e-53,1.363856819117618e-54
2.950490362468337e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951864667,0.20128658794500182,0.1676987576443959,5.826075321470636e-63,4.541874602806635e-42,1.5142791664863707e-24,3.124956537520249e-46,1.784831313243178e-32,7.120715807051199e-34,4.416945030503429e-14,4.371931472580206e-68,4.416944672949583e-14,6.430205135071412e-45,2.0882545186955716e-43,1.0630107370025728e-48,3.407926554362333e-65,3.023790669727465e-33,1.4009039355557818e-42,6.069894783363931e-25,4.5125066109529677e-13,1.0276516260531579e-64,1.419764568223787e-44,1.9297669445244604e-13,2.5784237139198983e-13,8.668383187353552e-19,4.512489238216022e-13,7.680845772249822e-24,2.6685442905084e-25,6.232724420097872e-32,1.2470636702706238e-25,2.2816866363759726e-36,7.387314452163194e-46,1.6389375996368493e-51,8.76387780635226e-53
5.900990729617282e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951729336,0.20128658794431342,0.16769875764426698,7.45848690872837e-61,7.267302906282156e-41,7.124368219136162e-24,5.021430066136641e-45,1.4278661370118549e-31,5.721878849736134e-33,8.833905769404715e-14,2.798044628569567e-66,8.83390433918791e-14,1.0288339895485177e-43,3.341347675976255e-42,1.7081308058015704e-47,1.12013754993425e-63,2.4191095312413757e-32,4.483418795693215e-41,2.4279635718990926e-24,9.025047820916661e-13,1.3155899593000064e-62,4.543917771877784e-43,3.8595384705001083e-13,5.15685617086923e-13,3.4673252153590454e-18,9.024978329585535e-13,6.144600743070983e-23,2.1351517699562302e-24,5.005549232754767e-31,4.9884691687151e-25,1.8254219044118377e-35,1.1870520944133696e-44,1.0489024700067334e-49,5.611712861631608e-51
