Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246)
2.112790673312124e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999504,0.11866996602996242,0.02282156769305416,6.157198147131768e-80,5.6571989417127196e-52,2.2300806733920633e-29,6.576222493871695e-56,2.2792283868062063e-39,2.090756160174601e-41,1.8647053178165979e-16,1.2104429475817134e-81,1.864705316735363e-16,5.884246197359669e-54,2.6000429932322385e-53,2.2370213611702222e-58,2.96171159485492e-77,8.917383979200049e-41,7.891598144075503e-54,2.4982467927800797e-30,1.905044741188335e-15,1.0860578249447176e-81,2.148417660495587e-56,8.146917769468325e-16,2.5126510923008564e-16,2.6216888190991394e-23,1.905044688646473e-15,1.6645552129066318e-30,5.782216558716497e-32,7.928493696800028e-39,5.132456502203059e-31,3.9670192168894963e-44,1.5546024403524117e-55,7.894309807360214e-66,4.219131987925837e-67,1.5067631234795145e-92
4.227416959720089e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999015,0.11866996602995951,0.022821567693054035,7.894483971644523e-78,9.060279414094415e-51,8.949283398688687e-29,1.0530849867738275e-54,1.825231203208014e-38,1.6739296926133545e-40,3.731030711971465e-16,7.758808084841271e-80,3.731030707643709e-16,9.425019948859368e-53,4.16491121695945e-52,3.5822595938354947e-57,9.48732743409715e-76,7.139330810190785e-40,2.528748707822258e-52,9.999497774926481e-30,3.811744662198614e-15,1.3924947494604037e-79,6.883431306534673e-55,1.6300913600976592e-15,5.027485200320373e-16,1.0493586794752079e-22,3.811744451894237e-15,1.3326561448702395e-29,4.629293900944497e-31,6.349402673801033e-38,2.0543207527967132e-30,3.176028328089121e-43,2.4894663847929966e-54,5.061246907754865e-64,2.705004884317085e-65,3.8657316968541484e-90
8.456669532536017e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199804,0.1186699660299537,0.022821567693053785,1.0113456847387619e-75,1.4503465925614706e-49,3.59940424258855e-28,1.6857260597658098e-53,1.4609246712289114e-37,1.3397381203465448e-39,7.463681506924044e-16,4.969471898753255e-78,7.463681489607384e-16,1.5088216906102502e-51,6.667737131802359e-51,5.73430296075911e-56,3.0384226320522757e-74,5.7136367984176055e-39,8.097915906671755e-51,4.001101592682241e-29,7.62514467953561e-15,1.7838956427479885e-77,2.2040615730257763e-53,3.2608905085736357e-15,1.005715341635908e-15,4.1988009307622886e-22,7.625143838044153e-15,1.0665297031592291e-28,3.704849770626777e-30,5.08237966839467e-37,8.219963650646513e-30,2.5417892621322068e-42,3.985013914971752e-53,3.2420420637619973e-62,1.7327357721683902e-63,9.907475347972282e-88
1.6915174678167876e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951996084,0.11866996602994206,0.022821567693053282,1.2950718372245122e-73,2.321118108892855e-48,1.4548186305124927e-27,2.6980442289395834e-52,1.1690356123927151e-36,1.0721310750562768e-38,1.4928983123400582e-15,3.181689473320052e-76,1.4928983054122668e-15,2.414769529456213e-50,1.0671492426207857e-49,9.177886856894922e-55,9.732685736750875e-73,4.5717813197265223e-38,2.5923130296893073e-49,1.6007011634081669e-28,1.5251945415475493e-14,2.2843554308806463e-75,7.055201209893029e-52,6.522488734222881e-15,2.01164898484352e-15,1.6797932696131897e-21,1.5251942048961575e-14,8.533854309727462e-28,2.964455055754974e-29,4.0673880950508056e-36,3.288524523041754e-29,2.0338197405100553e-41,6.378108447676071e-52,2.0758134417874211e-60,1.109451572184547e-61,2.5379597511760947e-85
3.383218496943159e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199218,0.11866996602991879,0.022821567693052276,1.6580537863827704e-71,3.714245932143182e-47,5.938338123898568e-27,4.3183779085498e-51,9.3534672600337e-36,8.580055621501442e-38,2.9859586462639137e-15,2.036673873308968e-74,2.985958618550496e-15,3.864154665615656e-49,1.707690638690434e-48,1.468974586087983e-53,3.119709800158977e-71,3.6577783820454887e-37,8.296990050351293e-48,6.40332568487934e-28,3.050554969241979e-14,2.924613185630395e-73,2.258031000102443e-50,1.304568490031056e-14,4.0235162712582255e-15,6.719715838486631e-21,3.050553622526719e-14,6.827725693400726e-27,2.3718089788181653e-28,3.2550500255432664e-35,1.3155199163865853e-28,1.6272137147865866e-40,1.0208536033456761e-50,1.3288056099014354e-58,7.102220483381432e-60,6.500366153200292e-83
6.766620555195901e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795198437,0.11866996602987225,0.022821567693050264,2.1225664415027708e-69,5.943178426015121e-46,2.4703075929835676e-26,6.913173778820276e-50,7.483244724813879e-35,6.867878707741518e-37,5.972079356625807e-15,1.303596589550645e-72,5.972079245767646e-15,6.18306457924353e-48,2.732515378744472e-47,2.3516414971088618e-52,1.0015124271970824e-69,2.9263713028393776e-36,2.6552889189316244e-46,2.5614344370852354e-27,6.101276946657472e-14,3.7439592447185925e-71,7.226374667917237e-49,2.6092076091642764e-14,8.047250844085563e-15,2.68799243231752e-20,6.101271559576436e-14,5.462430271009154e-26,1.897568864366974e-27,2.6053690564922056e-34,5.262318184586606e-28,1.301838262025598e-39,1.6342566716327645e-49,8.505202099724864e-57,4.546138571673349e-58,1.6650557972677757e-80
1.3533424671701386e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951968756,0.11866996602977917,0.02282156769304624,2.717116454457007e-67,9.509455880196033e-45,1.0640449752206345e-25,1.1072296168726173e-48,5.986780861981705e-34,5.5000468524042994e-36,1.1944320947406221e-14,8.343414948407491e-71,1.1944320503964721e-14,9.89323174889738e-47,4.372220800744489e-46,3.766442517166444e-51,3.2251276534167078e-68,2.3411680985721833e-35,9.844372071589132e-45,1.0245945703704489e-26,1.2202725389615825e-13,4.792676011611297e-69,2.3126048280252835e-47,5.218485391093549e-14,1.6094719989731937e-14,1.0752162256740389e-19,1.2202703840832513e-13,4.370032593423612e-25,1.51814168985617e-26,2.0862239880943133e-33,2.1049896174710265e-27,1.0415041157033078e-38,2.6174622726867728e-48,7.192751920330417e-55,3.8450879269997923e-56,9.224888797732726e-78
2.706703290471236e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795193752,0.11866996602959301,0.02282156769303819,3.4782275040659342e-65,1.5215624345230765e-43,4.86343990041797e-25,1.7750897162530783e-47,4.789493459017483e-33,4.409071298835599e-35,2.3888804809192764e-14,5.339907018583822e-69,2.388880303540998e-14,1.5829416640752377e-45,6.995800591641786e-45,6.038290106033232e-50,1.0450170428361924e-66,1.8729814915014274e-34,3.1637059923001158e-43,4.098419573234027e-26,2.440564022812269e-13,6.135186988298148e-67,7.400963215486686e-46,1.043703912960412e-13,3.218965828099151e-14,4.3008876720127308e-19,2.4405554031989644e-13,3.496043005299708e-24,1.214608670064389e-25,1.671986074890317e-32,8.420200298772152e-27,8.33227240589316e-38,4.196265249347891e-47,4.620783389083632e-53,2.470761313155574e-54,2.371404476305489e-75
5.413424937073431e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951875053,0.1186699660292207,0.022821567693022096,4.452771062647756e-63,2.4346031317669892e-42,2.4311550525296172e-24,2.8513608868859568e-46,3.831613851927684e-32,3.5416484066785697e-34,4.7777775253662303e-14,3.417572309999777e-67,4.7777768158505156e-14,2.5327209221499855e-44,1.1193767583984077e-43,9.699422748072196e-49,3.427448990321515e-65,1.4984337554018977e-33,1.0125118258750489e-41,1.6393758479278326e-25,4.881154171625715e-13,7.854167974479801e-65,2.3686415414930156e-44,2.0874139305239e-13,6.43795348633779e-14,1.7203470336529764e-18,4.881119692903079e-13,2.79681170411623e-23,9.718221468640102e-25,1.3423681857967444e-31,3.368222241427856e-26,6.666082521969222e-37,6.740538417642742e-46,2.957288208661821e-51,1.5820367770228259e-52,6.095613577598328e-73
1.0826868230277819e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795175012,0.11866996602847606,0.022821567692989906,5.7010727118332244e-61,3.895651439387804e-41,1.3610702239356067e-23,4.598028750191682e-45,3.065285238311708e-31,2.8563192476397703e-33,9.555572702613584e-14,2.1872474403961896e-65,9.555569864551578e-14,4.0523475778688475e-43,1.7911342393548323e-42,1.5641033639177213e-47,1.1506720161106633e-63,1.1988140833097078e-32,3.2399438984977192e-40,6.55751751098902e-25,9.762363194308965e-13,1.0056026243922828e-62,7.58167652707835e-43,4.17483104510088e-13,1.287592880276198e-13,6.881271354766892e-18,9.762225278319632e-13,2.237393128965665e-22,7.776671278265139e-24,1.0815286437286375e-30,1.3473923953192883e-25,5.3332421923714944e-36,1.0869601798049464e-44,1.892393899255544e-49,1.013327139343709e-50,1.5731344377679514e-70
