Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245),C2H4(52)
0.0,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599997,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0697695570416686e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,-8.654557642191594e-110,5.736049077511098e-64,1.6228974853954926e-49,3.285354437246101e-101,2.9923176901186e-54,2.979851301114547e-63,1.693822362258686e-45,-7.988478804495842e-154,9.654897775319722e-46,1.254643864957657e-96,3.752752801866885e-67,1.2384778063462073e-103,-9.298120129461237e-119,1.4968570799571256e-60,7.555073227372855e-81,7.898947687451522e-62,2.0180965059241767e-22,-1.8746172101200818e-115,5.8621641574125185e-80,2.2593719124551294e-18,2.3227652648155767e-18,6.577119103948699e-34,2.0180965059110236e-22,9.519747919013168e-47,1.6228970777881934e-49,9.085562450276223e-58,1.4254558369833618e-37,4.378541870775513e-53,5.707958930799574e-80,7.864121166447186e-89,2.7526622043436067e-92,-1.547225092002071e-135,4.383077229061662e-79,4.960138292161665e-76,-5.803193344050136e-137,5.190360111905318e-106
2.995354759716672e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,8.758637399748593e-108,1.2853888477150219e-62,1.926704026989287e-48,1.892254198703423e-99,4.521990498166015e-53,9.369129557754237e-62,7.102514100371831e-45,2.176720196050447e-152,2.7033852881653943e-45,3.538296445866002e-95,1.1799256933647687e-65,7.133007874761962e-102,8.903823983928756e-117,1.7770687253299348e-59,9.931993320650333e-73,6.751812584976014e-61,5.650670217333938e-22,1.8971613669506185e-113,3.566240643477278e-78,6.3262413548742855e-18,6.503742741483618e-18,3.972579939197231e-33,5.650670217254495e-22,1.1301844730745775e-45,1.9267034111921388e-48,1.3730101950251676e-56,8.609753255405103e-37,5.198204908938946e-52,3.287492196913678e-78,6.835536552795702e-87,2.124083853742133e-90,5.183220667514645e-133,2.666439775054746e-77,2.369517765430851e-74,1.9440759982168508e-134,3.1887240511990187e-104
6.846525165066679e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599994,0.11866996602996531,0.022821567693054278,1.8341933382196263e-105,2.541707866453768e-61,1.891649497189982e-47,8.486216663139765e-98,4.864551030301219e-52,2.0902012672994632e-60,2.7359143524444844e-44,3.807218706706181e-150,6.179231953735749e-45,7.696567634588018e-94,2.6323493266490427e-64,3.198749723307459e-100,1.8532672854690288e-114,1.7447366124127343e-58,8.938809457184695e-72,5.268286260757733e-60,1.2915817643138433e-21,3.972947596745278e-111,1.6099714979508756e-76,1.4459980239712284e-17,1.4865697694819693e-17,1.9126262360466044e-32,1.2915817642755948e-21,1.1096218178386404e-44,1.8916488352401016e-47,1.477021731279773e-55,4.14522557398527e-36,5.103628404433301e-51,1.474249488229224e-76,7.10712827775761e-85,2.314942527671265e-88,5.63027187423171e-130,1.2037583737754824e-75,1.2338029857042126e-72,2.1117519574672028e-131,1.4313919116207166e-102
1.4548865975766692e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599992,0.1186699660299653,0.02282156769305427,2.947651928595574e-103,4.524464463750171e-60,1.6731425817020962e-46,3.193145324442597e-96,4.4713604895172267e-51,3.9147156484384064e-59,1.0562938619323123e-43,5.435037561169048e-148,1.3131147862090686e-44,1.4268139286865066e-92,4.930098964235756e-63,1.2034568328591637e-98,2.967589104376679e-112,1.5431997751832082e-57,7.250427127439252e-71,4.073481039930108e-59,2.7446112506687316e-21,6.384750397830443e-109,6.078946048351833e-75,3.072745800938706e-17,3.158960760149184e-17,8.352941268404184e-32,2.7446112505016907e-21,9.814479322933605e-44,1.6731419741939015e-46,1.3576374736509827e-54,1.8103289130074355e-35,4.514101526794362e-50,5.546495036472473e-75,5.689835063220584e-83,1.8937866230418266e-86,4.1333639456168285e-127,4.545162582932808e-74,4.9237838268638394e-71,1.5503051292098187e-128,5.391994040096971e-101
2.995354759716672e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599985,0.11866996602996527,0.022821567693054254,4.214297717268141e-101,7.632498122987204e-59,1.406377164602252e-45,1.1059748450715332e-94,3.82534304447413e-50,6.761697767450551e-58,4.131978070473932e-43,7.284147729304686e-146,2.703586998765892e-44,2.4523285954561092e-91,8.515519939307004e-62,4.167239078847296e-97,4.234471359827671e-110,1.2971523958328539e-56,5.810479207787642e-70,3.1820854239337404e-58,5.650670228154463e-21,9.128363755068162e-107,2.1090687838419766e-73,6.326241354873164e-17,6.503742741483606e-17,3.487188554663999e-31,5.650670227457102e-21,8.24966124577955e-43,1.406376646478402e-45,1.1614875007085867e-53,7.557766848031403e-35,3.794374327998461e-49,1.920575136414988e-73,4.051173386683847e-81,1.3630006464234935e-84,2.5184105423642723e-124,1.5769280483848526e-72,1.7499898906809897e-69,9.445828625282892e-126,1.868925422071186e-99
6.076291083996678e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599971,0.1186699660299652,0.02282156769305422,5.6966648819405315e-99,1.2537474663875626e-57,1.1530329748018358e-44,3.681577865525442e-93,3.162867616250593e-49,1.1234661989592226e-56,1.6324463926942953e-42,9.518349719023792e-144,5.484887547424058e-44,4.064554816869247e-90,1.4148663764526746e-60,1.386500064011792e-95,5.718133163133127e-108,1.0634839047989925e-55,4.650057689264235e-69,2.5106741612111107e-57,1.1462788202229749e-20,1.2339239589669395e-104,7.024079649820929e-72,1.2833232462740108e-16,1.3193306704152422e-16,1.4246303112603742e-30,1.1462788199380797e-20,6.763570726132311e-42,1.1530325490757105e-44,9.603404239215804e-53,3.087594361431449e-34,3.110857320053247e-48,6.389874462318016e-72,2.731370201597249e-79,9.23925078919341e-83,1.4043413174335976e-121,5.2518288237862e-71,5.89444792303621e-68,5.267277500626363e-123,6.221610774514842e-98
1.2238163732556688e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599944,0.11866996602996507,0.022821567693054153,7.491879616329706e-97,2.0324650749602768e-56,9.337560019231876e-44,1.2023760080703283e-91,2.5719914377978546e-48,1.8315334588007316e-55,6.487390554720187e-42,1.2302498947293621e-141,1.1048913138927825e-43,6.618073901603389e-89,2.306589295598421e-59,4.523681551196703e-94,7.516258677912349e-106,8.612368388669027e-55,3.722362683049502e-68,1.993652141809004e-56,2.3087024226795618e-20,1.6227757729751744e-102,2.2927766042513242e-70,2.584721467846608e-16,2.6572434629489956e-16,5.7585835172728106e-30,2.3087024215279697e-20,5.477314952982204e-41,9.337556600710646e-44,7.809330421986509e-52,1.2480550073990604e-33,2.5192529114228226e-47,2.0846999262322806e-70,1.7936780925960853e-77,6.084049354044949e-81,7.500774215383755e-119,1.714284417710084e-69,1.9346168348946809e-66,2.8133230439714826e-120,2.030423110981785e-96
2.456190902967671e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599892,0.11866996602996481,0.022821567693054018,9.719866629547199e-95,3.273291686664995e-55,7.515680708245131e-43,3.893016231590566e-90,2.0744043033744974e-47,2.957931448487512e-54,2.586306696152252e-41,1.5821452244882904e-139,2.2182662298759997e-43,1.0681598118723206e-87,3.725147899912416e-58,1.4617429123173251e-92,9.748985462067156e-104,6.931983339580174e-54,2.98505536409561e-67,1.5887862785193324e-55,4.6335496581588543e-20,2.1053680643270786e-100,7.409857916617679e-69,5.187517910988639e-16,5.333069048016465e-16,2.315501121505529e-29,4.633549653528353e-20,4.408619624477963e-40,7.515678021116053e-43,6.298510452935182e-51,5.0183742942786846e-33,2.0277139119091665e-46,6.73566864813662e-69,1.162748538080967e-75,3.949872810699774e-79,3.922060927776954e-116,5.540271134892878e-68,6.269240941486293e-65,1.4710512955113249e-117,6.561327439372196e-95
4.920939962391675e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599786,0.11866996602996428,0.02282156769305375,1.2525496211704678e-92,5.254413640079131e-54,6.030860529279272e-42,1.2570086396487421e-88,1.666274398827318e-46,4.754788478839489e-53,1.0327757306470697e-40,2.0298347320500875e-137,4.4472952526322216e-43,1.7165041934081754e-86,5.988066536562973e-57,4.7010496102462153e-91,1.2561400084468586e-101,5.562480070978443e-53,2.411038541962087e-66,1.2685384814442254e-54,9.283244251381906e-20,2.7130804083177557e-98,2.3828993346048554e-67,1.0393110797260047e-15,1.068472021815125e-15,9.286195261812787e-29,9.283244232811527e-20,3.5376396591450884e-39,6.030858483339875e-42,5.0593102284645625e-50,2.0125925450683335e-32,1.6271127113331745e-45,2.165812955204705e-67,7.489258950413788e-74,2.5466532179722846e-77,2.029283014762426e-113,1.7816682460213665e-66,2.0187955006141423e-63,7.611250949378357e-115,2.1099222324186124e-93
