Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61)
2.3956661706230787e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.412896679519989,0.20128658794568463,0.16769875764452377,1.3571399312999885e-77,1.9755078494555425e-50,8.240246299302208e-29,1.353676957077874e-54,9.556955808548046e-39,3.796970522059572e-40,3.586361458067277e-16,1.2540774736736633e-80,3.5863614557095154e-16,2.7966311189557973e-53,9.081193230270108e-52,4.604777700537444e-57,1.1720819990518355e-75,1.619457169721423e-39,4.252406367485795e-53,4.0025706762842127e-29,3.663945709736134e-15,2.3938362981205208e-79,5.0144010102620955e-55,1.5668852120902287e-15,2.0935646981186795e-15,5.716108153391317e-23,3.663945595178316e-15,4.113824989695293e-30,1.4290322389447832e-31,3.324482272584017e-38,8.222974908773896e-30,1.221997517841567e-42,3.200058242785963e-54,6.939352623363938e-64,1.8941200040617982e-65,8.692874384271078e-91,1.5673496932105507e-52,2.5665029448154057e-56
4.792372578402312e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.412896679519978,0.20128658794567905,0.16769875764452272,1.738601793783733e-75,3.1623422124060382e-49,3.302890472641215e-28,2.1668406619561378e-53,7.649437931526624e-38,3.0388404630292855e-39,7.174280177344661e-16,8.032294152802656e-79,7.174280167910543e-16,4.477038560284619e-52,1.4538363958312687e-50,7.370901540109582e-56,3.75308078677516e-74,1.296058225484901e-38,1.3617071000107053e-51,1.6015496267225283e-28,7.329482491505101e-15,3.0666904612629013e-77,1.6056002122766092e-53,3.134450778241291e-15,4.188038456027936e-15,2.2871876213199547e-22,7.329482033124608e-15,3.29230985756655e-29,1.1436614524972447e-30,2.66101744454232e-37,3.290262135955548e-29,9.779696963986499e-42,5.122356743370852e-53,4.444906755711728e-62,1.2133092692898601e-63,2.2278413380155816e-88,5.0186192750502985e-51,8.219244937947992e-55
9.585785393960778e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.412896679519956,0.20128658794566787,0.16769875764452064,2.226350763361905e-73,5.060973951660786e-48,1.3259468929558004e-27,3.4678936199288364e-52,6.121099799172428e-37,2.4317102195836647e-38,1.4350117630373445e-15,5.14265242517799e-77,1.4350117592630831e-15,7.165204995143775e-51,2.3268159070329504e-49,1.1796669182201606e-54,1.2017767040092635e-72,1.0370439828220764e-37,4.359064659035266e-50,6.407241351252266e-28,1.4660556437038974e-14,3.9270226648633385e-75,5.139517237842355e-52,6.269581871703042e-15,8.376985971845903e-15,9.150238231353082e-22,1.4660554603218482e-14,2.6343474475799503e-28,9.151050834046617e-30,2.1294878376930167e-36,1.316319967819884e-28,7.825248124122625e-41,8.198013088358294e-52,2.8459286087979453e-60,7.76867579644534e-62,5.706700953606304e-86,1.6064571478148002e-49,2.631189234059534e-53
1.917261102507771e-19,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951991205,0.2012865879456455,0.16769875764451644,2.85034092335258e-71,8.098547062198022e-47,5.3408272569707244e-27,5.549972263904335e-51,4.8974993152273795e-36,1.9458347467018087e-37,2.870179259432707e-15,3.2919323862648273e-75,2.870179244334435e-15,1.1465881985442451e-49,3.723451099669444e-48,1.8879237406134952e-53,3.849535993838291e-71,8.297147388096507e-37,1.3951646657749886e-48,2.563105110949953e-27,2.9322705856090825e-14,5.027668412623495e-73,1.6449067423678052e-50,1.2539843903265052e-14,1.675488100347964e-14,3.660391914147678e-21,2.9322698520211555e-14,2.1076770173319724e-27,7.321570342731045e-29,1.704021608961868e-35,5.265715316143473e-28,6.260800395098401e-40,1.3119994271732089e-50,1.8217707927046457e-58,4.973152146775078e-60,1.46149208876543e-83,5.1414790286692e-48,8.42146002499363e-52
3.8346262287311575e-19,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795198241,0.20128658794560075,0.16769875764450806,3.6488533992081393e-69,1.2958490246450102e-45,2.1657054153761015e-26,8.882896995924445e-50,3.9182466474673286e-35,1.5571926880169865e-36,5.740514275381851e-15,2.1070395866530003e-73,5.740514214986311e-15,1.8346651684712715e-48,5.957969260917532e-47,3.021678563405275e-52,1.2341227687110878e-69,6.63804546859542e-36,4.464951925384305e-47,1.0252837493331877e-26,5.864701080613345e-14,6.436151137738152e-71,5.2641562491330455e-49,2.5080367344943143e-14,3.351067106673835e-14,1.464215333077959e-20,5.864698146141983e-14,1.6862199831303016e-26,5.8575896247479805e-28,1.3636486431396829e-34,2.1063773686797655e-27,5.0088900653654476e-39,2.0998943400710383e-49,1.1660488595666117e-56,3.1833043341363862e-58,3.742863680646627e-81,1.6454151769479027e-46,2.6951350035774416e-50
7.669356481177931e-19,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795196482,0.20128658794551127,0.1676987576444913,4.670864082807212e-67,2.073431285344187e-44,8.897302874496846e-26,1.422096386673089e-48,3.1346952227827394e-34,1.2465053194097157e-35,1.148118439991379e-14,1.3485698568587008e-71,1.148118415832676e-14,2.9355626256854572e-47,9.53314386590139e-46,4.837518904547137e-51,3.963428600324374e-68,5.310582331983278e-35,1.4288505880590544e-45,4.1012183237484426e-26,1.1729564515399444e-13,8.238858591841358e-69,1.6846262223403475e-47,5.016141174251591e-14,6.702225119322072e-14,5.856972397865785e-20,1.172955277727317e-13,1.3490053213015956e-25,4.686271388791856e-27,1.0915055612590596e-33,8.425725165500677e-27,4.007226320526455e-38,3.361799575715359e-48,7.463019307003484e-55,2.0376024891768175e-56,9.587192782164161e-79,5.2656278607943733e-45,8.6248800420258e-49
1.5338816986071476e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951929643,0.20128658794533233,0.1676987576444578,5.979084282959287e-65,3.3175730243452958e-43,3.7464025052813834e-25,2.277932684272011e-47,2.507793778624432e-33,9.983706582816919e-35,2.2962525019512008e-14,8.63104858546983e-70,2.2962524053154458e-14,4.696976045652958e-46,1.5253454963295053e-44,7.748801538008978e-50,1.2773711305944088e-66,4.248548141343291e-34,5.297253111985725e-44,1.6405039269501425e-25,2.345930116413331e-13,1.0546406197012481e-66,5.3911080828137145e-46,1.0032349059453004e-13,1.340454114460452e-13,2.342806314234956e-19,2.345925421109944e-13,1.079212768677351e-24,3.749203135318609e-26,8.741016714106435e-33,3.3703597712860413e-26,3.205849753188664e-37,5.384973960963242e-47,5.924928763175904e-53,1.7234385513087693e-54,5.3121713873661755e-76,1.6850946930859553e-43,3.1975925148731525e-47
3.0677737995858568e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795185929,0.20128658794497445,0.16769875764439077,7.653894785193607e-63,5.3082617504146546e-42,1.6485243475963629e-24,3.652873959871114e-46,2.0062475637758663e-32,8.005485708603949e-34,4.592520774084385e-14,5.523929104170076e-68,4.5925203875397096e-14,7.515213255622665e-45,2.440622504135574e-43,1.2425914430420524e-48,4.145744795590177e-65,3.3989096605451944e-33,1.702368844824013e-42,6.56204835900323e-25,4.691881357844696e-13,1.350057626695936e-64,1.7252993906373813e-44,2.0064760852605129e-13,2.6809173195113317e-13,9.371221105511786e-19,4.691862576505267e-13,8.63368464009048e-24,2.9996067558357326e-25,7.007003193120974e-32,1.3481791082517886e-25,2.5647440729972412e-36,8.635297057398581e-46,3.810614632098789e-51,1.1075819575340696e-52,1.365930649992058e-73,5.392748437414488e-42,1.0276301551825135e-45
6.135558001543275e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795171858,0.2012865879442587,0.1676987576442567,9.798499643777645e-61,8.493586398874427e-41,7.79374442522542e-24,5.870723764631011e-45,1.6049990683661454e-31,6.433964058191697e-33,9.185057911203327e-14,3.5353249277227603e-66,9.185056365023187e-14,1.2024353375779935e-43,3.905165976300095e-42,1.997033524333797e-47,1.3640550228704335e-63,2.719217397866224e-32,5.448215203633065e-41,2.6248254387785964e-24,9.383799487633408e-13,1.7283408692261828e-62,5.5218049930101315e-43,4.012956852992139e-13,5.361843729590655e-13,3.748456522800063e-18,9.383724361852402e-13,6.906858220050562e-23,2.4000548362000617e-24,5.628239722185597e-31,5.392956991493016e-25,2.0518798638751742e-35,1.3878226995681896e-44,2.438935614088092e-49,7.093811817244938e-51,3.5129453895310283e-71,1.725939634388136e-40,3.2889631819338803e-44
9.203342203500693e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795157787,0.20128658794354293,0.16769875764412265,6.485272933213124e-60,3.1754246769812334e-40,1.8323654836441835e-23,2.1661053765555353e-44,4.764837343709983e-31,1.845347195311779e-32,1.3777595641173247e-13,2.0072527674496303e-65,1.3777592355541611e-13,4.549054773267397e-43,1.4888761862792438e-41,7.36840193823366e-47,6.304249462706554e-63,7.775419021397801e-32,2.408597507018397e-40,5.5777573774306415e-24,1.4075733264309047e-12,1.1439263830169652e-61,2.583373171018781e-42,6.019436029826527e-13,8.04277013964754e-13,7.965415187183191e-18,1.407557362179226e-12,1.974913212530044e-22,6.863257138606202e-24,1.674698943026354e-30,1.1460425121882895e-24,5.867244078886803e-35,5.120611168048035e-44,1.2536350708434432e-48,3.5212243246499905e-50,1.8950556433708118e-70,8.074793655957182e-40,1.4540342252241006e-43
