Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241)
1.945674232754846e-16,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900384766535,0.11866996602585567,0.02282156769094199,1.8823360698745178e-67,1.2794089548778997e-39,3.720034878989566e-31,4.0973473819286584e-69,1.0289996402362032e-35,1.1594948600999265e-38,1.606386186992704e-33,3.0370773930453567e-112,1.1225696133118233e-38,4.185076033504497e-72,1.4602450108151713e-42,1.1400253134206507e-72,1.8873719784927805e-76,3.430774638839573e-42,2.9497040992488657e-50,7.785565447813273e-44,3.6709791509562194e-16,4.0772393231497524e-73,2.2945405390243556e-49,4.109297770815487e-12,4.224596310538844e-12,1.4506172178541252e-21,3.6709501417423904e-16,2.182177097482409e-28,3.7205818817471766e-31,3.1435952771508926e-39,3.1435743072416795e-25,1.0035427389033024e-34,2.0849286290890166e-49,1.904311148345498e-54,9.864557347299811e-56,4.7688242792666715e-81,1.7157640284321083e-48
3.891349290194283e-16,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900383933071,0.118669966021746,0.02282156768882969,2.409993965612364e-65,2.0470384159975747e-38,2.9763392025441152e-30,2.5845414357409214e-67,8.234006092691344e-35,1.8553933268481844e-37,6.426261811209434e-33,5.603329942074824e-110,4.1395280320569985e-38,6.697703444075886e-71,2.336734286714211e-41,5.849166367023123e-71,2.4165058667635563e-74,2.744628729464704e-41,1.0938015781794731e-48,6.229100760973548e-43,7.34297572819518e-16,5.220189996543013e-71,7.344375389053247e-48,8.218597178241649e-12,8.449194410415778e-12,5.803118712283094e-21,7.342859678336343e-16,1.7459591611892977e-27,2.9772156345255468e-30,2.53088756937256e-38,1.2574340541277594e-24,8.028266817790103e-34,6.672462296030861e-48,1.6091466221828948e-52,8.48887933965159e-54,6.039503262034861e-78,5.492681171810299e-47
7.782699405073158e-16,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900382266144,0.11866996601352667,0.022821567684605092,3.0863345174888034e-63,3.275207981381158e-37,2.3815681118461866e-29,1.6426311544173727e-65,6.5904148962147775e-34,2.9692717517016077e-36,2.571079251366357e-32,7.19438037417492e-108,1.5859306377843514e-37,1.0721379602279589e-69,3.739746679170488e-40,3.280858919588933e-69,3.094567992647834e-72,2.1957163586924105e-40,3.5166771169271255e-47,4.984320037909633e-42,1.469001653314684e-15,6.685224265543477e-69,2.351379471490864e-46,1.64371956776814e-11,1.689839060632965e-11,2.3217662458020927e-20,1.4689552229769266e-15,1.397114540466839e-26,2.3829716382180435e-29,2.0503344442815845e-37,5.029768892004911e-24,6.422490225292546e-33,2.1356280847010505e-46,1.0321558131437328e-50,5.642692876819608e-52,3.0980163683651376e-75,1.7589822349974077e-45
1.5565399634830907e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900378932292,0.118669965997088,0.022821567676155896,3.9544555201347234e-61,5.2401615061906864e-36,1.9060487440199984e-28,1.0483906019010574e-63,5.2774678389454356e-33,4.752888512394038e-35,1.0288914896485106e-31,9.22173053082451e-106,6.206117675744724e-37,1.7170379449429591e-68,5.986691829781507e-39,1.952267464257505e-67,3.96473073438316e-70,1.7565945338976105e-39,1.126475946671741e-45,3.98911988401088e-41,2.939628901691401e-15,8.565741020037314e-67,7.531961854358306e-45,3.2874391414910706e-11,3.3796782982797396e-11,9.291212773894194e-20,2.9394430972187562e-15,1.1182469088189112e-25,1.9082961845223523e-28,1.68129068704977e-36,2.01193389640003e-23,5.137795165195453e-32,6.836823712152231e-45,6.585719850086896e-49,3.852164586932807e-50,1.5884361131696883e-72,5.637211849088393e-44
2.3348099864588655e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900375598439,0.11866996598064933,0.0228215676677067,2.6179312517645457e-60,1.929220703055998e-35,5.451412650692149e-28,5.874704948429973e-63,1.5676149812566944e-32,1.8123942720158828e-34,2.1870697697397123e-31,5.142510409196556e-105,1.3104422889899001e-36,6.498847228651088e-68,2.2828087440579068e-38,1.0835827626768333e-66,2.6300661004406157e-69,5.0228025846489186e-39,4.9811241082294715e-45,1.1409122880348019e-40,4.411475264611803e-15,5.670717717479235e-66,3.5249769474002e-44,4.931158589048994e-11,5.0695175343905144e-11,1.974991848674282e-19,4.41108030807645e-15,3.1984231556982464e-25,5.459687192645138e-28,5.050115364991292e-36,4.2754045734809687e-23,1.469057373278673e-31,3.209279798485069e-44,3.263970832989317e-48,1.957445469591167e-49,9.068191680087238e-72,2.638380091070888e-43
3.1130800094346404e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900372264587,0.11866996596421066,0.022821567659257504,1.1824330272528167e-59,4.8951987877716e-35,1.1501103925808623e-27,2.1443199085850594e-62,3.4177552180929125e-32,4.877409216800918e-34,3.731944523347472e-31,2.6627587662215897e-104,2.228273312971423e-36,1.692427320126595e-67,6.14405222536653e-38,3.8299413751218464e-66,1.169042710119436e-68,1.0594627757003945e-38,1.7029867096360042e-44,2.4070373983807773e-40,5.884540769310147e-15,2.561282175589206e-65,1.13763953271465e-43,6.574877910441918e-11,6.759356768965291e-11,3.3700604724021537e-19,5.883866828205609e-15,6.748262567554707e-25,1.1522095346775916e-27,1.1113573765415322e-35,7.293413824366372e-23,3.098609973811892e-31,1.0005982639309148e-43,1.3803036867614663e-47,8.363836147179676e-49,7.54554629792781e-71,8.517880469301012e-43
4.66962005538619e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690036559688,0.11866996593133333,0.02282156764235911,1.3682723673226158e-58,1.714078390459756e-34,3.142443488136737e-27,1.396791460598374e-61,9.932736109522725e-32,1.9736562246064918e-33,7.730183015897515e-31,3.547209798985073e-103,4.59962390610742e-36,6.216925352115365e-67,2.4870329048277988e-37,2.2497377174001406e-65,1.2128988590088107e-67,2.893763423110469e-38,1.0483132794308463e-43,6.576744565043868e-40,8.833533114233982e-15,2.9638398257218415e-64,6.267636870252361e-43,9.862316257126266e-11,1.0139035234509946e-10,6.980588312438602e-19,8.832137142141581e-15,1.8440682840154427e-24,3.1497874681498906e-27,3.2731168026500663e-35,1.5100391063907638e-22,8.463016675540289e-31,4.931907624025137e-43,1.2423396804181424e-46,7.711278819069304e-48,2.3867713120465586e-69,4.69703585911607e-42
6.22616010133774e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900358929173,0.118669965898456,0.02282156762546072,6.158897763203788e-58,4.286422476789858e-34,6.57714991643297e-27,5.136260008582825e-61,2.174404843838688e-31,5.34779948894196e-33,1.3152948987033463e-30,1.6286147050222614e-102,7.810981149638407e-36,1.6133670039943562e-66,6.740420119734726e-37,7.958933162695855e-65,5.2806698110540827e-67,6.054805021820811e-38,3.5214223699840196e-43,1.37651646494454e-39,1.1787008904197436e-14,1.3340962052283653e-63,2.012525726623977e-42,1.314975413985699e-10,1.3518713694406183e-10,1.1877502475999529e-18,1.1784633649057545e-14,3.860104293455129e-24,6.595507034109695e-27,7.244604464762977e-35,2.568233925503037e-22,1.7707018851552282e-30,1.547911810411553e-42,4.894867600691596e-46,3.1125544000500646e-47,1.4391912822720507e-68,1.5090089469932876e-41
7.78270014728929e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900352261467,0.11866996586557868,0.022821567608562326,2.1947604173991558e-57,9.099583295527794e-34,1.1977351284026003e-26,1.5130465446627946e-60,4.0837637254378175e-31,1.201767804254674e-32,2.0104011236651914e-30,6.0448266708093295e-102,1.1923606812920824e-35,3.53040579081709e-66,1.515096804857273e-36,2.291316749455734e-64,1.8625054796895395e-66,1.1022704172999598e-37,9.523264048018904e-43,2.5067131263259967e-39,1.4745288567039223e-14,4.754150527829254e-63,5.26172786525038e-42,1.643719152549462e-10,1.689839214825054e-10,1.815450653186667e-18,1.4741658037139755e-14,7.03032384913643e-24,1.201631182913109e-26,1.3762158920422891e-34,3.923766799216906e-22,3.2234153112698206e-30,3.980293788137317e-42,1.5419084296270844e-45,1.0014722982106826e-46,7.306146889441513e-68,3.9476083728942704e-41
1.089578023919239e-14,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900338926049,0.11866996579982401,0.02282156757476554,3.1568059868882726e-56,3.335822996692839e-33,3.1651864747426533e-26,1.271985408823831e-59,1.1203623981118733e-30,4.6652087550063656e-32,3.8700690356981054e-30,8.07052273908629e-101,2.2917824279061777e-35,1.3613374711998877e-65,5.884455545960176e-36,1.8924806516090218e-63,2.6694710187837327e-65,2.9104439017486004e-37,5.3521140392375725e-42,6.624355817213807e-39,2.067656249449046e-14,6.8382539654556995e-62,2.9501728806963674e-41,2.301206477426652e-10,2.365774903740348e-10,3.494779880413593e-18,2.066957363363832e-14,1.8584265870485795e-23,3.179476486308444e-26,3.901097951552879e-34,7.545665038170092e-22,8.510213248426322e-30,2.247773423071607e-41,1.262552217169575e-44,9.261583355724849e-46,2.412406679772785e-66,2.216938888003556e-40
