Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245)
2.1946061965324192e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199948,0.11866996602996231,0.022821567693054157,8.033116355385633e-80,6.5857004991750814e-52,2.4063812610135268e-29,7.655570111872018e-56,2.554396056034053e-39,2.343172772596172e-41,1.9369140052411942e-16,1.5203553418924204e-81,1.9369140040745991e-16,6.850012360972398e-54,3.026781383183619e-53,2.6041810307604884e-58,3.581349771121171e-77,9.99396585302966e-41,9.542383586501395e-54,2.6954768025774257e-30,1.978815530082437e-15,1.4169478824586217e-81,2.597881762981103e-56,8.462398307052923e-16,2.609950775787421e-16,2.828664243838166e-23,1.978815473392534e-15,1.8655143474036767e-30,6.480294764058769e-32,8.885697931715747e-39,5.537650498666757e-31,4.4459512758031034e-44,1.8097574994518976e-55,1.941653761299366e-65,5.2993760223741604e-67,2.0419568020304e-92,3.5178439761040338e-53,7.836524936072209e-58,2.8334191342973005e-92
4.391119088283372e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951998976,0.11866996602995929,0.022821567693054025,1.0299702770702932e-77,1.0547319954874018e-50,9.657739937666279e-29,1.2259280479556688e-54,2.045588502529859e-38,1.8760252426900762e-40,3.8755108226056667e-16,9.74531293042736e-80,3.875510817936247e-16,1.0971924173645425e-52,4.84848746686143e-52,4.170216617372767e-57,1.147231826044165e-75,8.001251159311588e-40,3.0577652286067755e-52,1.0788931808516322e-29,3.959350337377636e-15,1.8167472479159582e-79,8.323493935172854e-55,1.6932148764017747e-15,5.222169102205296e-16,1.1322027790659785e-22,3.959350110470282e-15,1.4935456202160223e-29,5.188181717543327e-31,7.11597151100824e-38,2.2165040198367034e-30,3.5594653238003308e-43,2.898063027142692e-54,1.2447432555359685e-63,3.3975865006635852e-65,5.2388239387850625e-90,1.1271010463198075e-51,2.5116203905949476e-56,7.2693813876859405e-90
8.784144871785277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199796,0.11866996602995325,0.022821567693053765,1.3194732944996795e-75,1.6883883133529967e-49,3.8851156551213266e-28,1.9624093336237383e-53,1.637299811648807e-37,1.5014900347557106e-39,7.752704464501893e-16,6.241816802466739e-78,7.75270444581813e-16,1.7564607016469766e-51,7.762095974735155e-51,6.675491304116834e-56,3.674194348386266e-74,6.40343542055501e-39,9.792044057214051e-51,4.3169780331911775e-29,7.920420141125246e-15,2.327396750980105e-77,2.665167091000751e-53,3.3871649485617724e-15,1.0446605755040699e-15,4.530285161277972e-22,7.92041923320025e-15,1.1952901426046378e-28,4.152131147234767e-30,5.695992059258495e-37,8.868908547297145e-30,2.848655612932663e-42,4.639086197414085e-53,7.973026814593931e-62,2.1763888811951883e-63,1.3426603080037414e-87,3.6089562200115643e-50,8.043484410587864e-55,1.8630673723299984e-87
1.7570196438789088e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951995934,0.11866996602994116,0.02282156769305324,1.6896428190142368e-73,2.7020774714513026e-48,1.570911303146478e-27,3.140897361484224e-52,1.3101714406547855e-36,1.2015796720273647e-38,1.5507091776963458e-15,3.9963044671115675e-76,1.5507091702216242e-15,2.8110994120825473e-50,1.242297802604282e-49,1.0684332120690366e-54,1.1769551734001993e-72,5.123725642315293e-38,3.1346419337481488e-49,1.7270723070727157e-28,1.5842560505249454e-14,2.980332549065689e-75,8.531201350606728e-52,6.775065015949899e-15,2.08954790607101e-15,1.8124084849419552e-21,1.5842556872958128e-14,9.564132842493904e-28,3.3223501405568315e-29,4.5584769499247184e-36,3.5481451985211424e-29,2.2793597967811462e-41,7.42500206434185e-52,5.104862641259657e-60,1.393528590345025e-61,3.4394578380653046e-85,1.1552270143108703e-48,2.5749246309808154e-53,4.7725437329826974e-85
3.5142299572796715e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951991876,0.11866996602991699,0.022821567693052196,2.1632155674497645e-71,4.3238562748685605e-47,6.417063782704102e-27,5.0272384325234826e-51,1.0482696556333593e-35,9.616102596388308e-38,3.101586651656302e-15,2.5581279730758818e-74,3.1015866217549858e-15,4.498368354145898e-49,1.9879698366600258e-48,1.710106353537912e-53,3.772836024089661e-71,4.09937675918033e-37,1.0032776788795678e-47,6.908851390322536e-28,3.168684426001496e-14,3.8156595545128727e-73,2.7304286097367493e-50,1.3550864842998696e-14,4.179322567204331e-15,7.25021937784675e-21,3.168682972966604e-14,7.652025796733187e-27,2.658155474416018e-28,3.648090265618767e-35,1.4193770066626495e-28,1.8236649744535162e-40,1.1884264333945856e-50,3.2677797227648534e-58,8.920895177369509e-60,8.809419634568923e-83,3.6973274431158487e-47,8.241383098637313e-52,1.2223688059835383e-82
7.028650584081197e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951983766,0.11866996602986865,0.022821567693050108,2.7692537542352883e-69,6.9186193147787835e-46,2.6732598274970455e-26,8.048123308592755e-50,8.38668489590064e-35,7.697331451088276e-37,6.203341645446783e-15,1.6373592749859362e-72,6.203341525836667e-15,7.19787484158214e-48,3.180997153122892e-47,2.737715174858955e-52,1.211331218111071e-69,3.279668364332188e-36,3.2107933437379634e-46,2.7636529400591596e-27,6.337542387562346e-14,4.884640118377229e-71,8.738193879124353e-49,2.710246326618659e-14,8.358871889468738e-15,2.900202087155164e-20,6.337536575185365e-14,6.121900084894818e-26,2.1266621231870815e-27,2.920012229445514e-34,5.677766394959549e-28,1.4590076317788974e-39,1.9025558399549452e-49,2.0915764603347664e-56,5.710451646991493e-58,2.256559038623597e-80,1.1832558325137159e-45,2.6375079781111113e-50,3.1310624455951484e-80
1.4057491837684248e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951967546,0.11866996602977196,0.022821567693045927,3.544951200075047e-67,1.1070225840981629e-44,1.1543910076919304e-25,1.2890549654416604e-48,6.709555153128872e-34,6.164546120656124e-36,1.2406851816509887e-14,1.0479597445834672e-70,1.2406851338059861e-14,1.1516981754279177e-46,5.08982552526223e-46,4.3849544504449e-51,3.9017406588212125e-68,2.6238149986719736e-35,1.1903879117800466e-44,1.1054836112259836e-26,1.2675263153138413e-13,6.252879795005531e-69,2.7964250302392604e-47,5.420565518892457e-14,1.6717970533988605e-14,1.1601014980068712e-19,1.2675239903134216e-13,4.897618447986712e-25,1.701428946028724e-26,2.3382522252345082e-33,2.2711746393212537e-27,1.167244038070792e-38,3.0472926792700515e-48,1.6605662298937954e-54,4.830085633078898e-56,1.2502601247885845e-77,3.786690864052467e-44,9.778576282380333e-49,1.7346660096111923e-77
2.8115174344890345e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951935105,0.11866996602957859,0.02282156769303757,4.537964472593673e-65,1.7712949469666693e-43,5.298135667579933e-25,2.0667461541233587e-47,5.36772088972545e-33,4.942151143153339e-35,2.481387289256377e-14,6.707094555454889e-69,2.4813870978745608e-14,1.842745598307524e-45,8.144014163893617e-45,7.030412478658835e-50,1.26485802540558e-66,2.0991057634491503e-34,3.825572566101151e-43,4.421978979836093e-26,2.5350724054198383e-13,8.004439201425721e-67,8.949341912577124e-46,1.0841201933985719e-13,3.343616782299253e-14,4.640429682304427e-19,2.535063105309778e-13,3.9181126670773776e-24,1.3612534937234702e-25,1.874101031149059e-32,9.084966006048265e-27,9.338226801389141e-38,4.885733274862166e-47,1.0680077924344434e-52,3.104040724067532e-54,3.2142739246948843e-75,1.2118454621014548e-42,3.142631420705334e-47,4.459118268118475e-75
5.623053935930255e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795187022,0.11866996602919186,0.02282156769302085,5.809458700802208e-63,2.8341959235431938e-42,2.6636798218540567e-24,3.3203571083051117e-46,4.2941976131480035e-32,3.9704733772019254e-34,4.9627917980375054e-14,4.292580023063531e-67,4.962791032507477e-14,2.9484092322682227e-44,1.3031006539359227e-43,1.1294798778339348e-48,4.152330786942104e-65,1.67934075886672e-33,1.2243345531625198e-41,1.7688002302625234e-25,5.070172333680158e-13,1.0247206477268657e-64,2.8642069942499706e-44,2.1682466886361223e-13,6.687256240085715e-14,1.856162502120918e-18,5.070135132945303e-13,3.1344629876056136e-23,1.0891599471427301e-24,1.5048441067477142e-31,3.634144971095575e-26,7.470887757484273e-37,7.849232224077726e-46,6.835733919515705e-51,1.9879660265611787e-52,8.263620217411004e-73,3.8784614735780486e-41,1.0058121745323922e-45,1.1461400404294308e-72
8.434590437371475e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795180533,0.11866996602880513,0.02282156769300413,3.845061270843835e-62,1.0595957237526016e-41,6.459928641207375e-24,1.224856470542069e-45,1.2748405768172802e-31,1.1384979242269393e-33,7.44419660038823e-14,2.4372025952421213e-66,7.444194973636161e-14,1.115443824193343e-43,4.968173739716889e-43,4.1665722845771224e-48,1.9172102842049217e-64,4.8019576733379685e-33,5.412658077846298e-41,3.758705585986898e-25,7.605280009971095e-13,6.782238893963053e-64,1.3400124074306547e-43,3.2523723960932243e-13,1.0030895697857857e-13,3.9443235777943825e-18,7.605200958240054e-13,8.962543613804868e-23,3.1145689798653822e-24,4.476874905758025e-31,7.722806093491823e-26,2.136258811741261e-36,2.895526020308415e-45,3.5136424752077473e-50,9.867649831296442e-52,4.4576409641660133e-72,1.814527992974017e-40,4.4466458508377097e-45,6.182456109372903e-72
