Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232)
9.119733567176667e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599607,0.11866996602996341,0.022821567693053296,9.378906726157566e-91,6.186715289016568e-53,3.834504116271681e-41,2.7620679461350863e-87,1.0599782390648379e-45,5.60232489410094e-52,3.538546591190087e-40,1.5169240460433923e-135,8.251528097348069e-43,2.0221561743221253e-85,7.055433569635063e-56,1.0260405051323551e-89,9.40518394833441e-100,3.536701297385104e-52,1.5780210974028335e-65,8.04694752667618e-54,1.7204175906777161e-19,2.0315145744901452e-96,5.199490894813358e-66,1.926103592591504e-15,1.9801461178974293e-15,3.1879901555059003e-28,1.7204175843024268e-19,2.2492799866453614e-38,3.834502936672067e-41,3.2184170143901142e-49,6.909315267953927e-32,1.0345406272093094e-44,4.7255052730916394e-66,2.024366952427933e-74
1.8247390447617605e-19,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599216,0.11866996602996148,0.022821567693052304,1.202520370108958e-88,9.906831280431626e-52,3.069934986101017e-40,8.984718174895222e-86,8.488423684210895e-45,8.974151863147808e-51,1.4146933091937751e-39,1.9425277613649346e-133,1.6551883747678648e-42,3.238964546147402e-84,1.1301831581081934e-54,3.2896206077750356e-88,1.2058505573477793e-97,2.831511507527446e-51,1.4230726288186323e-64,6.433714162563721e-53,3.4423301203712974e-19,2.6047147421285473e-94,1.6658914422743984e-64,3.8538806027034004e-15,3.962012606009952e-15,1.2760269432735026e-27,3.4423300948535244e-19,1.800791752780914e-37,3.069934253718448e-40,2.5773516068162734e-48,2.7655267307083227e-31,8.282615429649175e-44,1.5139801771515e-64,1.2978751004585067e-72
3.6502704208499484e-19,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385598434,0.11866996602995762,0.022821567693050323,1.5405206909126362e-86,1.585740264732741e-50,2.456881245210631e-39,2.9635919091073723e-84,6.794180901668648e-44,1.4366995170928363e-49,5.657321406446739e-39,2.486988033934605e-131,3.327762498521712e-42,5.185157471313746e-83,1.8093449135263822e-53,1.054811442565149e-86,1.5447618910634432e-95,2.2660697662903376e-50,1.65282500504893e-63,5.145431586888691e-52,6.886155850466425e-19,3.33683908007991e-92,5.334142944866558e-63,7.709434622857775e-15,7.925745582234155e-15,5.105770410205412e-27,6.886155748362079e-19,1.4411808675676212e-36,2.456880998786035e-39,2.062938296365926e-47,1.1065709220241628e-30,6.62860953891829e-43,4.8476485452826687e-63,8.313705345061157e-71
7.301333173026324e-19,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690038559687,0.1186699660299499,0.02282156769304636,1.9726961648695872e-84,2.5377023307124335e-49,1.965878666928351e-38,1.0041737443887938e-82,5.436723703280389e-43,2.299387971314244e-48,2.2626383905148123e-38,3.183699101482868e-129,6.722922740259277e-42,8.298506706992171e-82,2.8957940802990965e-52,3.386014945426055e-85,1.9781109900770183e-93,1.8132001180484203e-49,2.968664247321376e-62,4.115729461051195e-51,1.3773809993488553e-18,4.272951173122842e-90,1.7074529914206812e-61,1.542054266288886e-14,1.5853211534679177e-14,2.0426410599929314e-26,1.3773809585004607e-18,1.1531639286142663e-35,1.965879013521915e-38,1.6507884275576341e-46,4.427004269432732e-30,5.303894651517569e-42,1.5517138394635139e-61,5.32311092232081e-69
1.4603458677379075e-18,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385593742,0.11866996602993449,0.022821567693038433,2.5255840008575795e-82,4.060738009690476e-48,1.572852879346961e-37,3.5693448951380673e-81,4.3499336051885526e-42,3.67955695646618e-47,9.049975904558591e-38,4.075364929303818e-127,1.3713291356485516e-41,1.3279423601522335e-80,4.633945868235537e-51,1.0898352138728365e-83,2.532505633708223e-91,1.450697842907603e-48,7.644116568587608e-61,3.292338109537082e-50,2.754912901086059e-18,5.470531871090261e-88,5.464697183847903e-60,3.084275874184039e-14,3.1708143439555705e-14,8.17123264821429e-26,2.7549127376791064e-18,9.226191686912269e-35,1.5728540268207393e-37,1.3208296931266007e-45,1.7709458496813253e-29,4.2435184557858165e-41,4.966231944408847e-60,3.4075408876597934e-67
2.9207709686084576e-18,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385587486,0.11866996602990364,0.022821567693022578,3.2330931744647463e-80,6.497511950331156e-47,1.2583430234670272e-36,1.3698178950295675e-79,3.4801735267202196e-41,5.887723710046731e-46,3.6198770930861825e-37,5.216623055593165e-125,2.8494222366595526e-41,2.124855635809708e-79,7.41485835965111e-50,3.527082846565022e-82,3.241945771820783e-89,1.1606133954562529e-47,2.2977813708861017e-59,2.633773830868691e-49,5.509980997091728e-18,7.003029655323544e-86,1.7488411981212173e-58,6.168719089530085e-14,6.341800724925466e-14,3.268628800922293e-25,5.5099803434368055e-18,7.381310633340337e-34,1.2583453338562933e-36,1.0567814422381399e-44,7.084071815834274e-29,3.3949756804770018e-40,1.5893147791405988e-58,2.181067536196707e-65
5.841621170349558e-18,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385574974,0.11866996602984194,0.022821567692990867,4.1385921355844285e-78,1.0396283043622178e-45,1.0066998889711634e-35,5.839911951410864e-78,2.784237116460232e-40,9.420715478737575e-45,1.447930005043305e-36,6.677399695203094e-123,6.125686947067043e-41,3.3998963320338517e-78,1.1864224264076274e-48,1.1538927969078983e-80,4.149916076455961e-87,9.285127954890918e-47,7.234425777435073e-58,2.1069828740172306e-48,1.1020134359229702e-17,8.964382778344739e-84,5.596528604985922e-57,1.233760551844514e-13,1.2683773486843623e-13,1.3074803133716598e-24,1.1020131744552237e-17,5.9051996829773905e-33,1.0067039651810144e-35,8.455331950178819e-44,2.833686509216969e-28,2.7160446139120054e-39,5.086006088137446e-57,1.3959622208878956e-63
1.1683321573831758e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690038554995,0.11866996602971855,0.02282156769292745,5.2975767747370355e-76,1.6634260834033723e-44,8.053719898851053e-35,2.8008861207819036e-76,2.2274412283601357e-39,1.5073467493353697e-43,5.7916929395850755e-36,8.547207134970103e-121,1.395853838000509e-40,5.439964858303054e-77,1.8983167203531475e-47,3.85370707061214e-79,5.312059413162504e-85,7.428191163033785e-46,2.3055780906589315e-56,1.6855757839631148e-47,2.2040509764022793e-17,1.1474798377587375e-81,1.7909371512073283e-55,2.4675378369167086e-13,2.53677190105934e-13,5.2299919935785806e-24,2.204049930517219e-17,4.7242334321236227e-32,8.053788155242271e-35,6.765673176882498e-43,1.1334862391330443e-27,2.1728608416703125e-38,1.6275575291260618e-55,8.93443348039088e-62
2.336672238079616e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385499902,0.11866996602947177,0.02282156769280061,6.7810890159467256e-74,2.66149735405388e-43,6.44305448218211e-34,1.4928416368217544e-74,1.781993143569518e-38,2.411792357390286e-42,2.3166834278822058e-35,1.0940658640283282e-118,3.4745593123045555e-40,8.704140751646318e-76,3.0373546756932553e-46,1.336355471640033e-77,6.799600471979982e-83,5.94258922098338e-45,7.37041905420986e-55,1.3484627598564172e-46,4.4081535295772945e-17,1.4688157754441836e-79,5.731140407284165e-54,4.935092404217835e-13,5.07356100577468e-13,2.0920214683834424e-23,4.408149345987407e-17,3.779437363331139e-31,6.443166122710701e-34,5.414662325289523e-42,4.533968857964034e-27,1.7382979695413871e-37,5.2082651708446027e-54,5.718154271263194e-60
4.673352399472496e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385399806,0.11866996602897822,0.02282156769254693,8.680111308292676e-72,4.258405010687009e-42,5.154523407829111e-33,8.595222551399652e-73,1.4256418542800412e-37,3.858935386777674e-41,9.266839562023305e-35,1.40045682501262e-116,9.6805620747493e-40,1.3927078456164781e-74,4.859854628519033e-45,4.93658168568616e-76,8.70374141337796e-81,4.754087127272593e-44,2.357994617178962e-53,1.078781203241931e-45,8.816468524865945e-17,1.880153619518869e-77,1.834028999758178e-52,9.87020152744704e-13,1.0147139215066897e-12,8.368219398518434e-23,8.816451790239196e-17,3.0236039669494592e-30,5.154703978913412e-33,4.335076605255493e-41,1.813592828313196e-26,1.3906408719376104e-36,1.6666732815968948e-52,3.659692933786427e-58
