Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33)
1.6656731935192932e-20,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599675,0.20128658794568963,0.1676987576445235,5.824363321636665e-94,1.455536586373223e-54,3.962837486573368e-43,6.909761050088063e-90,1.858094880128801e-47,7.770648200485331e-54,2.0230726931414686e-41,5.095290564329813e-140,2.5510551482857687e-43,6.47430683838451e-88,1.6599181862213456e-57,2.597814216222162e-92,1.3481964984334795e-103,2.6858373557633773e-53,1.5657043532847e-67,6.185170128192395e-55,5.329856512140025e-20,1.2615840317823523e-99,1.317217223124674e-68,5.967072399280116e-16,2.657597799399456e-15,1.803874273727866e-29,5.32985650853515e-20,2.3245583966731725e-40,3.962835004033557e-43,5.641727836339622e-51,2.87282182819835e-32,1.3326094869775002e-45,1.1971397608752195e-68
3.3327935401172304e-20,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599349,0.20128658794568902,0.16769875764452216,7.467730590403598e-92,2.3307611158710896e-53,3.17267959295604e-42,2.2200508331715354e-88,1.487982916414596e-46,1.244750625040392e-52,8.046521279049945e-41,6.476246519140138e-138,5.106683861381622e-43,1.037014286109044e-86,2.6589599054169905e-56,8.324086090215443e-91,1.7285396975033897e-101,2.1503029892357887e-52,1.261958194156711e-66,4.915569194266126e-54,1.0664343781928859e-19,1.6175449828055618e-97,4.220299127375656e-67,1.1939329049111083e-15,5.31750454562702e-15,7.220198196040648e-29,1.0664343767499963e-19,1.8610601886432144e-39,3.172677644975275e-42,4.517959405407258e-50,1.1498774105585834e-31,1.066897872307617e-44,3.835453969376865e-67
6.667034233313105e-20,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385598698,0.20128658794568782,0.1676987576445195,9.566732980903454e-90,3.7307406054830065e-52,2.539107962027905e-41,7.148573621345004e-87,1.1909894699543572e-45,1.9927593169076257e-51,3.2094483095689507e-40,8.260254090674668e-136,1.022501590868099e-42,1.6601235749627095e-85,4.256810176520617e-55,2.6660025023546586e-89,2.214355543597757e-99,1.720895913213042e-51,1.0396452827012524e-65,3.919415091076757e-53,2.133331870101526e-19,2.0721986091753754e-95,1.35132901910204e-65,2.3883842348733247e-15,1.0637318038081505e-14,2.8890198080810734e-28,2.1333318643280873e-19,1.4894138295766185e-38,2.5391064669894827e-41,3.6162010676251925e-49,4.601007429353693e-31,8.538425484612624e-44,1.2280828816548008e-65
1.3335515619704854e-19,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385597395,0.20128658794568544,0.16769875764451417,1.2250565891604773e-87,5.970403516625488e-51,2.031672221569741e-40,2.3139291052066002e-85,9.530329492989586e-45,3.189341952781279e-50,1.2819466852843669e-39,1.055432268133641e-133,2.0489978489723433e-42,2.656918660049429e-84,6.812876588604406e-54,8.538214813460986e-88,2.8355436506846955e-97,1.376978196185628e-50,9.279932379932232e-65,3.1303133393502885e-52,4.267127005722297e-19,2.653529232938078e-93,4.3255869076644236e-64,4.7772868947818505e-15,2.1276945022987896e-14,1.1557960891499524e-27,4.2671269826247823e-19,1.191757460881151e-37,2.031671127879261e-40,2.893697321183272e-48,1.840702573298392e-30,6.8320376501924295e-43,3.931045917981551e-64
2.6672478392488354e-19,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385594789,0.20128658794568066,0.16769875764450354,1.5684021726661656e-85,9.553620545125757e-50,1.625492221644734e-39,7.570179391091859e-84,7.625230160537574e-44,5.103689166149401e-49,5.124121123532245e-39,1.3497493512027675e-131,4.113309761368781e-42,4.2516472055916995e-83,1.090218767121894e-52,2.7354836495625312e-86,3.630244288243359e-95,1.1016871559972106e-49,1.0505212024635702e-63,2.502162769821281e-51,8.534717884177807e-19,3.397231654142313e-91,1.3844014756387408e-62,9.555092214535274e-15,4.255619899279037e-14,4.623560980744717e-27,8.5347177917802205e-19,9.534966611076469e-37,1.6254915108314527e-39,2.3152570729382087e-47,7.363409550656155e-30,5.466149053153372e-42,1.258123704974208e-62
5.334640393805535e-19,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385589578,0.2012865879456711,0.16769875764448225,2.0077663568718717e-83,1.5286572722417046e-48,1.3004556977671144e-38,2.5279235494964918e-82,6.10057230639161e-43,8.166497255467311e-48,2.0489154979313413e-38,1.72690891448463e-129,8.287211183797192e-42,6.803099090341523e-82,1.7444770481453118e-51,8.772411583928537e-85,4.647192634848744e-93,8.813915692587396e-49,1.8264866278432186e-62,2.0008951613655443e-50,1.7069902069944706e-18,4.348914818453218e-89,4.430427760203894e-61,1.9110702853787607e-14,8.51147069323541e-14,1.8494999322180952e-26,1.7069901700339277e-18,7.628338059322898e-36,1.3004553918970662e-38,1.852332701308456e-46,2.945483685362521e-29,4.3731267829068836e-41,4.0262987266317016e-61
1.0669425502918935e-18,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385579154,0.201286587945652,0.1676987576444397,2.570077674398233e-81,2.4459139828757164e-47,1.0403895500913808e-37,8.763504226504428e-81,4.880615565706551e-42,1.3066874204456623e-46,8.194197909532653e-38,2.2099517193624766e-127,1.6816124522265927e-41,1.0885334683382481e-80,2.791265537831337e-50,2.818929776099137e-83,5.948716060370207e-91,7.051299978093056e-48,4.616716904814913e-61,1.600382429061225e-49,3.4140280156902172e-18,5.566907193811905e-87,1.4177925030674726e-59,3.82219241312742e-14,1.7023172281131666e-13,7.398152510685904e-26,3.4140278678449944e-18,6.1028195299281e-35,1.0403897259078493e-37,1.481928738714685e-45,1.1782174550640597e-28,3.498584374452056e-40,1.2884643267513172e-59
2.1338995721145733e-18,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385558308,0.20128658794561377,0.16769875764435457,3.2897903179848744e-79,3.91351211464165e-46,8.323219938164252e-37,3.235643880627685e-79,3.9045594532588215e-41,2.0907390906093757e-45,3.277387848436233e-37,2.8284269573354466e-125,3.4598393998209763e-41,1.7416853294796546e-79,4.466108718981415e-49,9.095323227437461e-82,7.614560531440171e-89,5.641107019716257e-47,1.3791238671476296e-59,1.2801730084405096e-48,6.828107519251321e-18,7.125838208650083e-85,4.537029683103153e-58,7.644436668217513e-14,3.4046575456858227e-13,2.95929292033986e-25,6.828106927864042e-18,4.882320330374167e-34,8.323228073162268e-37,1.1855868368287765e-44,4.712917842302114e-28,2.7989005668657556e-39,4.12316556794324e-58
4.267813615759933e-18,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385516615,0.20128658794553733,0.16769875764418435,4.21099843307199e-77,6.261658740356079e-45,6.658623075533693e-36,1.311432208228123e-77,3.1236806215007376e-40,3.345216893881493e-44,1.3108980815929758e-36,3.620196171578665e-123,7.306071074259098e-41,2.786727354712687e-78,7.145847591894932e-48,2.9582615931232312e-80,9.746783118971301e-87,4.512912537639435e-46,4.33465021268543e-58,1.0240861112314183e-47,1.3656282071052822e-17,9.121217958309749e-83,1.4518674814284276e-56,1.5288925176768794e-13,6.809338180804752e-13,1.1837246389236065e-24,1.3656279705488697e-17,3.905890263308538e-33,6.658640349222453e-36,9.48517111126562e-44,1.8851767892017005e-27,2.2391335006834544e-38,1.319426854811549e-56
8.535641703050652e-18,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038543323,0.20128658794538443,0.16769875764384387,5.39014291383237e-75,1.0018684071866997e-43,5.326926446103795e-35,5.963130782032838e-76,2.498967734299665e-39,5.352384027149752e-43,5.243487857603088e-36,4.633751991453082e-121,1.6157650817308921e-40,4.458805720012271e-77,1.1433436033731566e-46,9.771961382737958e-79,1.2476014240562538e-84,3.610340969788273e-45,1.3808136861561405e-56,8.192493774356399e-47,2.7312693353380652e-17,1.167530038075761e-80,4.646023881011393e-55,3.057790218735574e-13,1.3618699450937082e-12,4.73492219767755e-24,2.7312683891077238e-17,3.124738796363184e-32,5.326957490338333e-35,7.588809109843759e-43,7.540726844110087e-27,1.7913117317441303e-37,4.222195283517079e-55
1.707129787763209e-17,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038526646,0.20128658794507862,0.16769875764316294,6.899481184267971e-73,1.6029914110582508e-42,4.261566968157628e-34,3.0388054250790545e-74,1.9991995039559749e-38,8.563874497640111e-42,2.0973819671653578e-35,5.931197252212879e-119,3.8497318097518926e-40,7.134178043375802e-76,1.829362867833931e-45,3.3225438636711786e-77,1.5969481526813127e-82,2.888277425232145e-44,4.413623684580379e-55,6.553939482254531e-46,5.4625764632997315e-17,1.494459929656091e-78,1.4867475799126536e-53,6.115585618246715e-13,2.7237421990779613e-12,1.8939805677733317e-23,5.46257267835486e-17,2.4998224492129285e-31,4.261619364458671e-34,6.07208682863923e-42,3.016294981375204e-26,1.4330508976094586e-36,1.3511117631349099e-53
