Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245),C2H4(52)
0.0,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9815959633409745e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,-5.931462029048627e-113,1.4277256633941514e-65,1.7496041718787553e-51,8.930034633570556e-104,5.471801859581039e-56,4.372728156025563e-65,3.4573973222654448e-46,-1.2614660493477884e-157,3.033506993187545e-46,4.249795222895686e-99,9.34075324988318e-69,3.366436341601055e-106,-1.4709627744050922e-122,1.1858051962288875e-61,4.7939693326243365e-84,2.1946229260178866e-62,6.340752835420193e-23,-1.284782106781668e-118,1.5934584223716317e-82,7.0988274443001995e-19,3.1616556548810344e-18,3.827890224633829e-35,6.340752835412541e-23,1.0262994372838862e-48,1.7496034261194895e-51,1.6614010356716213e-59,6.09623788949043e-38,5.883510602450872e-54,1.5515422273723807e-82,6.716327568988472e-92,2.3508969704249265e-95,-8.398655698063601e-141,2.750119297818406e-82,2.2869179527694832e-78,-3.1500925849607572e-142,3.2566411068179473e-109
5.548468697354729e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,6.002793832297801e-111,3.1993844891017894e-64,2.0771303145329485e-50,5.143272201380347e-102,8.268986971830248e-55,1.3748557417005702e-63,1.1054125264865682e-45,2.6666709380840735e-156,8.493827677185889e-46,1.1985102498082205e-97,2.9368824673143176e-67,1.9388955177134778e-104,1.4085851174975482e-120,1.4077879289636448e-60,1.070742184562718e-74,1.4824743808801803e-61,1.7754107939610856e-22,1.3002329052549495e-116,9.693785519242553e-81,1.987671684404051e-18,8.8526358336669e-18,2.3120456957232747e-34,1.7754107939564647e-22,1.2184226919973986e-47,2.0771291875773257e-50,2.510709227863586e-58,3.6821276852542476e-37,6.984903787218289e-53,8.936089132527264e-81,5.8378679432563395e-90,1.8140584679785973e-93,2.813558672125141e-138,1.6730317749705411e-80,1.0924881902058526e-76,1.055284396441942e-139,2.043428933033246e-107
1.2682214165382237e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599997,0.2012865879456902,0.1676987576445248,1.257077322791169e-108,6.326413005844583e-63,2.039338965986757e-49,2.3064870597485046e-100,8.895398849719188e-54,3.067227532350148e-62,3.1741232200550135e-45,3.366720999758507e-154,1.941450143022563e-45,2.607021580982254e-96,6.552023240714208e-66,8.694826152403266e-103,2.931869184808758e-118,1.38217453672655e-59,9.636680632004848e-74,8.735795472430752e-61,4.058081814972944e-22,2.722887617346399e-114,4.3762381588309314e-79,4.543249564352096e-18,2.023459619123863e-17,1.1131504773901801e-33,4.0580818149506974e-22,1.196254624261777e-46,2.0393377537585053e-49,2.7009064195384376e-57,1.7727859782668e-36,6.857819958181235e-52,4.0073174446047513e-79,6.069819980189225e-88,1.977051561976652e-91,3.0562272520892044e-135,7.55286515907618e-79,5.688563340918903e-75,1.1463023543365243e-136,9.062250081039085e-106
2.6949705101437253e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599994,0.2012865879456902,0.1676987576445248,2.0201940083021906e-106,1.1261573844301786e-61,1.8037722628260995e-48,8.677791508199186e-99,8.176404086624014e-53,5.744577712165801e-61,9.509005027700884e-45,3.5469252702469234e-152,4.125597847647736e-45,4.832978644354488e-95,1.227121440553185e-64,3.2712145542069164e-101,4.694726503446877e-116,1.2225177251086256e-58,7.816422466103047e-73,5.219464186585328e-60,8.623423857691562e-22,4.375833650106696e-112,1.6523842611282175e-77,9.654405324248115e-18,4.299851690638208e-17,4.861420585973811e-33,8.62342385759441e-22,1.0580736682029869e-45,1.8037711487667675e-48,2.482598331631275e-56,7.742222119683397e-36,6.065664090627989e-51,1.5076529777546548e-77,4.8593852946149865e-86,1.617354081410098e-89,2.243674871145474e-132,2.851818174201885e-77,2.2701562965298478e-73,8.415374817110182e-134,3.3964324450661914e-104
5.5484686973547285e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599989,0.2012865879456902,0.16769875764452477,2.888298615354444e-104,1.8997594504691975e-60,1.5161792892421106e-47,3.0049897042418823e-97,6.99508584149242e-52,9.922329423778386e-60,3.0968610327551625e-44,3.767196326926198e-150,8.493945072966993e-45,8.306655461138003e-94,2.119547125362559e-63,1.1327202672473378e-99,6.69893445410323e-114,1.0275998101769262e-57,6.263858290560434e-72,3.3526528391981602e-59,1.7754107945908406e-21,6.256188376334456e-110,5.732888613751029e-76,1.9876716844039855e-17,8.852635833666893e-17,2.0295473977208164e-32,1.7754107945502817e-21,8.893746721751887e-45,1.5161783364628518e-47,2.123915152381099e-55,3.232225329035202e-35,5.098556151778463e-50,5.2205235963528517e-76,3.459891590031292e-84,1.1640260127504288e-87,1.3670449815213615e-129,9.894282054254482e-76,8.068491035249938e-72,5.127389909426788e-131,1.1747699979883665e-102
1.1255465071776736e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599978,0.20128658794569018,0.16769875764452472,3.904249377115302e-102,3.120627820213705e-59,1.2430553920299148e-46,9.998761743417978e-96,5.783672249574842e-51,1.6486098743825468e-58,1.0904718768567375e-43,4.220944488401192e-148,1.7230846787881275e-44,1.3767672255068032e-92,3.5216592504515086e-62,3.7686484809111734e-98,9.046087672248284e-112,8.424884093556512e-57,5.012200112918121e-71,2.3287714248718676e-58,3.6015476133460506e-21,8.456784711174777e-108,1.909291267537663e-74,4.0321339883622174e-17,1.7958204119724247e-16,8.291363347414849e-32,3.601547613180355e-21,7.29163090543933e-44,1.2430546047865316e-46,1.756094140349258e-54,1.3204695118383143e-34,4.180104374896184e-49,1.7369010840277187e-74,2.3327179526457506e-82,7.890208816415121e-86,7.623053155645459e-127,3.2952090303347436e-74,2.7176899945145755e-70,2.8591865112012835e-128,3.9070998592792936e-101
2.266945782062075e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599955,0.20128658794569015,0.16769875764452463,5.13461239920883e-100,5.058887238430217e-58,1.0066584881156008e-45,3.262735363191351e-94,4.703186227276543e-50,2.6876501845956766e-57,4.058418095970781e-43,4.981415236117621e-146,3.470547927481394e-44,2.241708526227332e-91,5.7411934028928265e-61,1.2295345228330412e-96,1.1890722495899845e-109,6.82268956894783e-56,4.0100062842924586e-70,1.7167267618261695e-57,7.253821255303839e-21,1.1121807917990133e-105,6.232244705108178e-73,8.121058596278215e-17,3.616934069183887e-16,3.3515016347154145e-31,7.253821254634071e-21,5.9049517642732715e-43,1.0066578488093026e-45,1.4280266227809715e-53,5.337548891857621e-34,3.385156899121603e-48,5.666648967017819e-73,1.5318850490341915e-80,5.195348745317275e-84,4.071574297376083e-124,1.0756111124575971e-72,8.919730686637839e-69,1.5271296164251771e-125,1.2745148736120591e-99
4.549744331830877e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599911,0.20128658794569007,0.16769875764452444,6.661578886371347e-98,8.147354536413437e-57,8.102463305928502e-45,1.0546000203562658e-92,3.7932900877607884e-49,4.340562232704487e-56,1.561980923492346e-42,6.094334263427266e-144,6.965806047710372e-44,3.6181266092255255e-90,9.272042693307571e-60,3.97269875118103e-95,1.542289649509873e-107,5.491494125852256e-55,3.2084646910135864e-69,1.3138639161832156e-56,1.4558368557008884e-20,1.442928794757885e-103,2.014153802999139e-71,1.6298907812108348e-16,7.259161383606783e-16,1.347624068645383e-30,1.4558368554315777e-20,4.7528189131672406e-42,8.102458163676872e-45,1.1517552572313032e-52,2.146204934100738e-33,2.724668774095275e-47,1.8308951376679915e-71,9.930417185697657e-79,3.372450375647593e-82,2.128975192523962e-121,3.476189266622791e-71,2.8904917766422037e-67,7.985169355205938e-123,4.117713399853591e-98
9.115341431368482e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599822,0.2012865879456899,0.16769875764452408,8.584436611543768e-96,1.3078446695899367e-55,6.50171654782273e-44,3.3936366036208325e-91,3.046976903868909e-48,6.977327035778007e-55,6.124458641907278e-42,7.616376093242974e-142,1.3957648779544569e-43,5.8142323619563854e-89,1.490453786807592e-58,1.2774424745126014e-93,1.9872136472652795e-105,4.406578194073899e-54,2.568215520660985e-68,1.0270827353216788e-55,2.9167463231576867e-20,1.8594286708503813e-101,6.477216819458925e-70,3.2654606243761157e-16,1.4543616012452457e-15,5.404575269029348e-30,2.916746322077633e-20,3.8138378783444925e-41,6.501712439754337e-44,9.251525415126027e-52,8.607241699984962e-33,2.186375097064836e-46,5.887130994404045e-70,6.396178499753099e-77,2.1737683517864085e-80,1.1015364494217976e-118,1.1178903816268695e-69,9.307844104444647e-66,4.131544098019826e-120,1.3239892640485283e-96
