Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245),C2H4(52)
0.0,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3324073655042148e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,-6.755000872109402e-99,7.547575040056935e-63,3.8159750953537895e-35,6.369020030766854e-67,2.876497784705703e-48,1.7137492595269642e-49,1.9946411889420358e-19,-1.6767021146271683e-98,1.9946411889409426e-19,8.774745407316977e-66,2.4424688402470006e-64,2.1665376837672642e-69,5.938943934182563e-91,7.309625637678527e-49,1.147149768388684e-68,1.856767076877794e-35,2.0377915026813567e-18,-1.1915032421218773e-100,1.355926664960495e-70,8.714609037360417e-19,1.1643863649030671e-18,2.65166643718012e-29,2.037791502628213e-18,1.8568278278521675e-39,6.450112433043029e-41,1.0006023776676535e-47,3.8145844970347816e-36,5.515640658766052e-52,1.505620305813909e-66,2.080298268149289e-82,5.759640745772355e-84,4.431187714643444e-115,4.23821547967612e-68,6.924273943821288e-72,6.14872457825755e-115,6.190277252161659e-70
3.7307406234118017e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,6.836237168657077e-97,1.899908269371182e-61,2.3048527193051123e-34,1.4247243532085676e-65,4.346964017631038e-47,2.0345631932710953e-48,5.5849953290413235e-19,3.236898991118489e-97,5.584995329034719e-19,2.474618911235895e-64,7.679512948972682e-63,4.846458301745371e-68,2.4507223858370503e-89,8.677987558995192e-48,3.814311003846591e-65,1.121487314432369e-34,5.705816207603429e-18,1.205832375832895e-98,8.248764137609172e-69,2.4400905304511937e-18,3.2602818217285887e-18,1.60160652792681e-28,5.705816207282446e-18,2.2044259969733237e-38,7.657573488835594e-40,1.5120953117801707e-46,2.3040090369460013e-35,6.548168591958908e-51,3.3680125137103985e-65,1.7037458227031286e-80,4.444396947052932e-82,7.066223594508737e-113,2.578313548107841e-66,3.307808823818002e-70,9.805105412948148e-113,3.765848099035032e-68
8.527407139226976e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,1.4316131683228853e-94,3.9409408389649484e-60,1.1096912002958487e-33,2.8150154338975913e-64,4.676265565712366e-46,1.9975463531716773e-47,1.2765703609254394e-18,3.417823507786005e-95,1.2765703609222587e-18,5.382836722678968e-63,1.7132570958520372e-61,9.575785581574908e-67,9.694818405768398e-88,8.520099649190887e-47,3.668901393877537e-64,5.39947865953334e-34,1.3041865617830088e-17,2.5251983882992467e-96,3.72388642742695e-67,5.5773497838426054e-18,7.452072735379632e-18,7.711045997370055e-28,1.30418656162847e-17,2.1643185153608993e-37,7.518251077768377e-39,1.6266380437989488e-45,1.1092811728221366e-34,6.429030757549964e-50,6.654625637736152e-64,1.8128469244752658e-78,4.843721252750622e-80,3.238706245131239e-110,1.1639739860288955e-64,1.7223691980433407e-68,4.494034984029825e-110,1.7000838441834807e-66
1.8120740170857323e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199999,0.20128658794569018,0.1676987576445248,2.3006829414098783e-92,7.165534995334161e-59,4.8463466776238375e-33,5.009170262667122e-63,4.298293707337019e-45,1.7668073842451885e-46,2.7127120169738505e-18,2.7015046381122035e-93,2.7127120169599603e-18,9.978872113237007e-62,3.208740934699783e-60,1.7039601204111957e-65,3.4600149317548164e-86,7.535931659726663e-46,3.8831654300684e-63,2.3580941876066046e-33,2.7713964439813465e-17,4.058135943553554e-94,1.4060686635862853e-65,1.1851868290469854e-17,1.5835654562681715e-17,3.367616373204024e-27,2.7713964433064344e-17,1.9143152157569317e-36,6.649807968178223e-38,1.4951589127556833e-44,4.844522322341549e-34,5.686404905404845e-49,1.1841552430484431e-62,1.4670721450327593e-76,3.96246481783071e-78,1.1092876473385154e-107,4.3949443187473706e-63,6.873523336215704e-67,1.5392496528351843e-107,6.419193110862365e-65
3.730740623411802e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199998,0.20128658794569013,0.1676987576445248,3.289317451916496e-90,1.2210112986622058e-57,2.0232824714282845e-32,8.448700175267473e-62,3.677280760798558e-44,1.4851084953114483e-45,5.584995329093863e-18,1.9147308153325613e-91,5.584995329035872e-18,1.7151131548865488e-60,5.542302020773962e-59,2.873978605866313e-64,1.1690629430021086e-84,6.334404645829351e-45,6.246511279707891e-62,9.844579041352316e-33,5.705816208990045e-17,5.801971728099013e-92,4.8783054200806235e-64,2.440090530310206e-17,3.260281821728587e-17,1.4059135431796434e-26,5.705816206172421e-17,1.6090972833859618e-35,5.589564331025284e-37,1.279139533557586e-43,2.022492710282343e-33,4.779765966025762e-48,1.997251457728386e-61,1.050234139199145e-74,2.85181483078417e-76,3.2731180321590423e-105,1.5248103638563248e-61,2.4429578530863907e-65,4.541784760602996e-105,2.2271162892722586e-63
7.568073836063941e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999964,0.20128658794569004,0.16769875764452477,4.4463255177097195e-88,2.0155745390482252e-56,8.265998991251948e-32,1.38770231967361e-60,3.0404468434314945e-43,1.217582377110855e-44,1.1329561953426648e-17,1.2885260610693972e-89,1.1329561953189738e-17,2.842674272679697e-59,9.208617744802482e-58,4.7205211397754244e-63,3.843636974049557e-83,5.193327656740216e-44,1.5391902056258506e-60,4.021831758985537e-32,1.1574655741455536e-16,7.842798794821189e-90,1.6246794119336504e-62,4.9498979325877325e-17,6.613714552649415e-17,5.743615554237389e-26,1.1574655729944625e-16,1.3192351678552063e-34,4.582662632388059e-36,1.0576175572867263e-42,8.262542688064509e-33,3.9187409389879143e-47,3.280493357749921e-60,7.10002550708625e-73,1.933053119238186e-74,8.98633741109897e-103,5.078255238631007e-60,8.228554887252604e-64,1.2469458445191671e-102,7.4172270870258484e-62
1.5242740261368219e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199993,0.20128658794568988,0.16769875764452474,5.847515549516005e-86,3.275429643953017e-55,3.3414348318385885e-31,2.2495277854934115e-59,2.472440876563212e-42,9.86030920672026e-44,2.2818695202463254e-17,8.454490782193673e-88,2.2818695201505626e-17,4.628558134121331e-58,1.50123712063387e-56,7.652176778567366e-62,1.2466833867748105e-81,4.205691414089383e-43,4.614973381238885e-59,1.6256887004494754e-31,2.3312334816178884e-16,1.0314334324324918e-87,5.303224392390991e-61,9.969512736147122e-17,1.3320580014491053e-16,2.32166123311172e-25,2.3312334769649945e-16,1.0683508381546555e-33,3.711159153462022e-35,8.600377934802955e-42,3.339851896324052e-32,3.173498042968428e-46,5.317827067581521e-59,4.668840815851136e-71,1.2728091950765333e-72,2.381735523090766e-100,1.657627150592698e-58,2.700694122290939e-62,3.3049004606309683e-100,2.4211064480822441e-60
3.0592073111976773e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199986,0.20128658794568952,0.1676987576445247,7.586490636715003e-84,5.28147620709655e-54,1.3437257322265872e-30,3.622803282729919e-58,1.9941131339557648e-41,7.936453088480476e-43,4.579696170202063e-17,5.4783841974867275e-86,4.579696169817003e-17,7.470511477354679e-57,2.424502007375468e-55,1.2323622465760452e-60,4.016414246945966e-80,3.38510638772877e-42,1.4611489717714198e-57,6.536822763397925e-31,4.678769300479505e-16,1.338168323158908e-85,1.7139106125244312e-59,2.0008742339283239e-16,2.673431093817428e-16,9.335297656319273e-25,4.678769281770424e-16,8.599016921180125e-33,2.9870639759504426e-34,6.936529990892379e-41,1.3429397865498805e-31,2.5543073619365357e-45,8.564215777207958e-58,3.0286032468154554e-69,8.261916115472453e-71,6.203532348486192e-98,5.357164909291376e-57,8.751760015722547e-61,8.608031693419162e-98,7.824597618253214e-59
6.1290738813193884e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199972,0.2012865879456888,0.16769875764452455,9.776324554337115e-82,8.483145840150065e-53,5.390140168301617e-30,5.815427710019333e-57,1.601780108392669e-40,6.368533331079629e-42,9.175349470707198e-17,3.527926053098516e-84,9.175349469162937e-17,1.2004911354057143e-55,3.897316319404542e-54,1.97822321524408e-59,1.289623404280307e-78,2.7163347711030755e-41,4.6778736016336575e-56,2.6215582940866574e-30,9.373840953870527e-16,1.7244294446517816e-83,5.511680495839426e-58,4.0087201529624855e-16,5.35617727855405e-16,3.743871850146725e-24,9.37384087883875e-16,6.900169422124138e-32,2.396931084193966e-33,5.571820522320271e-40,5.385789415076708e-31,2.0496708717180354e-44,1.3747524728613078e-56,1.9513774211622628e-67,5.325025666499572e-69,1.601863189430724e-95,1.7227842025845207e-55,2.818206241105504e-59,2.2227475531363145e-95,2.516273292404967e-57
