Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245),C2H4(52)
2.221208455038177e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999476,0.11866996602996227,0.022821567693054153,8.740033172443816e-80,6.910871933480553e-52,2.4651539546594934e-29,8.033569858475975e-56,2.6484171125325892e-39,2.429420195363344e-41,1.960392608001172e-16,1.634336218850736e-81,1.9603926068061231e-16,7.188234266134449e-54,3.1762298501399163e-53,2.7327645007718797e-58,3.803745072504514e-77,1.0361819264937516e-40,1.0134861493606035e-53,2.7612201391727017e-30,2.002802049029363e-15,1.5416397508059242e-81,2.7591986635334775e-56,8.564976576829367e-16,2.6415876978623256e-16,2.897656051882637e-23,2.002801990956779e-15,1.93417935494547e-30,6.718818617303496e-32,9.212761932619808e-39,5.672715165652517e-31,4.609595859244026e-44,1.8991156877348427e-55,2.0872193197899594e-65,5.696670017474147e-67,2.2485804853429667e-92,3.7362864368274667e-53,8.323138183140066e-58,3.120130090641179e-92,5.457160435817928e-55
4.444346717595936e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951998965,0.11866996602995922,0.02282156769305402,1.1206080063621858e-77,1.106809787471473e-50,9.893938801615832e-29,1.2864597026397237e-54,2.1208815997583379e-38,1.9450786978926896e-40,3.922488426622408e-16,1.0475917993002395e-79,3.9224884218390987e-16,1.1513667002659705e-52,5.087883372817735e-52,4.376126020248726e-57,1.218475866571965e-75,8.295757644275761e-40,3.247633869354989e-52,1.1052076486348874e-29,4.0073442165297285e-15,1.976621614112779e-79,8.840345994706996e-55,1.7137394423006596e-15,5.28547043282085e-16,1.1598174787684772e-22,4.007343984088048e-15,1.548519369106092e-29,5.37914610983415e-31,7.377898171371873e-38,2.2705651100490728e-30,3.690480541578305e-43,3.0411583338582224e-54,1.3380615033189988e-63,3.6523036350416747e-65,5.768937617560277e-90,1.1970890222556425e-51,2.667580820435192e-56,8.004965767259176e-90,1.7484471001284973e-53
8.890623242711453e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199794,0.1186699660299531,0.022821567693053758,1.435587423154951e-75,1.7717531382666594e-49,3.980390154248057e-28,2.059307230867466e-53,1.697564802264297e-37,1.5567587073219737e-39,7.846680071206972e-16,6.709765133365733e-78,7.846680052067506e-16,1.8431865997825845e-51,8.145352460275051e-51,7.0051070778393465e-56,3.90238425663685e-74,6.639130250826703e-39,1.0400082268670482e-50,4.4222701800029e-29,8.016428745301197e-15,2.5322085095060046e-77,2.8306622206206376e-53,3.4282229918340414e-15,1.0573235902737542e-15,4.640779903491177e-22,8.016427815231687e-15,1.239285835898392e-28,4.304961142362572e-30,5.905655877022816e-37,9.085223522464282e-30,2.953507682370515e-42,4.8681503829646555e-53,8.570763513545821e-62,2.3395530836808644e-63,1.4785243949210223e-87,3.833056491822227e-50,8.542948971676458e-55,2.051591420440391e-87,5.598481530464728e-52
1.7783176292942488e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951995884,0.11866996602994087,0.02282156769305323,1.8383320946141407e-73,2.8354936286879066e-48,1.6096387556164913e-27,3.2959906012445226e-52,1.3583956366443114e-36,1.2458108834585692e-38,1.569506338974446e-15,4.295906976297421e-76,1.5695063313174139e-15,2.949898484118931e-50,1.3036367539708386e-49,1.1211909909690994e-54,1.2500637050924996e-72,5.312317534074814e-38,3.329288835764917e-49,1.7691960216078925e-28,1.603459857792723e-14,3.2426030613764233e-75,9.060951820703107e-52,6.8571900120925495e-15,2.1148766842569494e-15,1.8566135556948705e-21,1.603459485704342e-14,9.916165018309581e-28,3.4446380663624134e-29,4.726276616316306e-36,3.6346854313739417e-29,2.363257506268905e-41,7.791638564335483e-52,5.487573303481584e-60,1.4980019978828312e-61,3.787502635545473e-85,1.2269615816407382e-48,2.7348160063480525e-53,5.255485112025384e-85,1.7920658176464979e-50
3.5568282393404557e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199178,0.1186699660299164,0.022821567693052172,2.353579685124542e-71,4.537348533834465e-47,6.576878184141647e-27,5.275493051333883e-51,1.0868538870322638e-35,9.9701119162981e-38,3.139183014429289e-15,2.7499105416671166e-74,3.1391829837986687e-15,4.720476942984562e-49,2.086126699969734e-48,1.794554666013246e-53,4.007271550777068e-71,4.250264945841669e-37,1.065576682585029e-47,7.077359958646211e-28,3.207094134351286e-14,4.1514396197842755e-73,2.89997664090024e-50,1.3715123737376565e-14,4.229982872222766e-15,7.427053883014147e-21,3.207092645876514e-14,7.933677933662639e-27,2.7559962394595028e-28,3.782388815259424e-35,1.4539960428705234e-28,1.8907897121884654e-40,1.247113195535975e-50,3.512764378626379e-58,9.589702928866782e-60,9.700887543594599e-83,3.9269157770142405e-47,8.753136507197615e-52,1.346065862264348e-82,5.7354896727071316e-49
7.1138494594328695e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795198357,0.11866996602986747,0.022821567693050056,3.0129501735055526e-69,7.260229509621888e-46,2.7411019263375957e-26,8.445607524320281e-50,8.695378128507676e-35,7.980754009724432e-37,6.2785364123283296e-15,1.7601119093814956e-72,6.278536289800898e-15,7.553272520382045e-48,3.338060433909227e-47,2.8729266438126182e-52,1.2866514947919778e-69,3.400385200801407e-36,3.410169020435494e-46,2.8310591075912124e-27,6.414363927602787e-14,5.314492133356482e-71,9.28080055803533e-49,2.7430989927012713e-14,8.460195248152107e-15,2.9709386328776266e-20,6.414357973460489e-14,6.347231941415281e-26,2.2049402678340557e-27,3.0275247870709574e-34,5.816249181626753e-28,1.5127102870168957e-39,1.9965200923449657e-49,2.2483811604153882e-56,6.138575366541199e-58,2.4849251296403365e-80,1.2567312507108265e-45,2.80128564249685e-50,3.447927267797268e-80,1.835494880165657e-47
1.4227891899617697e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795196715,0.11866996602976962,0.022821567693045827,3.856911165056498e-67,1.1616824905437603e-44,1.1846594377042672e-25,1.3527361776911249e-48,6.956517302890033e-34,6.391612206158708e-36,1.2557243396083724e-14,1.1265251550726985e-70,1.2557242905964195e-14,1.2085636793819997e-46,5.341138709208003e-46,4.601577655409038e-51,4.14467538396148e-68,2.720391650305458e-35,1.264305489778566e-44,1.1324466247437552e-26,1.2828908474667484e-13,6.803140729982091e-69,2.9700729979155544e-47,5.4862717262558496e-14,1.692062000000162e-14,1.1883965835665675e-19,1.2828884657589638e-13,5.077887328843674e-25,1.7640558545334287e-26,2.424372064426003e-33,2.326569686043783e-27,1.2102076869808484e-38,3.197833411597182e-48,1.7850578723920417e-54,5.192216256683278e-56,1.3768077842532143e-77,4.021830730063125e-44,1.0385783848446705e-48,1.910241177730535e-77,5.873788358690038e-46
2.845597677998735e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951934317,0.1186699660295739,0.022821567693037365,4.937314857224139e-65,1.858754109011961e-43,5.4442589426132145e-25,2.1689001757880614e-47,5.565293332446159e-33,5.124322420348501e-35,2.5114658115422843e-14,7.209924467475853e-69,2.5114656154926234e-14,1.933731778042052e-45,8.546131591192734e-45,7.377907947428869e-50,1.3438201062546213e-66,2.176369426431385e-34,4.063122269022665e-43,4.529832114564187e-26,2.5658017411137437e-13,8.708846627458221e-67,9.505071801132553e-46,1.0972615175875216e-13,3.384146950366397e-14,4.753610310152562e-19,2.5657922141714085e-13,4.062328071357285e-24,1.4113602653562075e-25,1.9431693074928813e-32,9.306554890302622e-27,9.681948153928865e-38,5.127222648371305e-47,1.1480751522642767e-52,3.336775574119539e-54,3.539704040156701e-75,1.2870977442945772e-42,3.337775843845126e-47,4.910569480231444e-75,1.8796348137556779e-44
5.691214654072666e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795186864,0.11866996602918248,0.022821567693020444,6.320713631679198e-63,2.9741380119024854e-42,2.742167808365431e-24,3.484645489634122e-46,4.452256172331399e-32,4.117037258152361e-34,5.022949056140695e-14,4.614393968898529e-67,5.0229482719392315e-14,3.093987812514464e-44,1.3674429178786456e-43,1.1853655619692589e-48,4.41287881728732e-65,1.7411543368147093e-33,1.3003594508477378e-41,1.811941690396008e-25,5.131631465432275e-13,1.1149000449501733e-64,3.04207150919693e-44,2.1945294005161358e-13,6.768316851084197e-14,1.90143429109426e-18,5.131593357359828e-13,3.249833736876691e-23,1.1292530425901972e-24,1.5603732667461002e-31,3.722786133253025e-26,7.745879409562337e-37,8.237605299376186e-46,7.348194447756991e-51,2.137035941216901e-52,9.100737100420666e-73,4.1193099780479807e-41,1.0682692858327322e-45,1.262238749921122e-72,6.014801761815832e-43
8.536831630146597e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951802966,0.11866996602879105,0.022821567693003524,4.183443522771397e-62,1.1119148863232205e-41,6.65614682022228e-24,1.2854959054721884e-45,1.3217642081539503e-31,1.1805635511457221e-33,7.534432601468916e-14,2.619919200347462e-66,7.534430935040041e-14,1.1705191736305034e-43,5.213484846008977e-43,4.372848373213019e-48,2.037775712176891e-64,4.9787103520230516e-33,5.748755851068839e-41,3.850381306545793e-25,7.697469126756915e-13,7.379105655749421e-64,1.423226799964349e-43,3.291796476450164e-13,1.0152486751787324e-13,4.04052526870271e-18,7.697388146928844e-13,9.292428650097596e-23,3.2292225765759482e-24,4.642189632157341e-31,7.911177531247017e-26,2.214891752976572e-36,3.0388758787927176e-45,3.777051241018705e-50,1.0607617652404813e-51,4.909235111136183e-72,1.92720954329081e-40,4.7227660489080384e-45,6.808747923879036e-72,2.8138484934801457e-42
1.422806558229446e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795167162,0.11866996602800821,0.022821567692969683,2.1850572461652494e-60,8.81927820064133e-41,2.431226640609982e-23,9.975090041627822e-45,6.19139916152731e-31,5.473999351389433e-33,1.2557400895038827e-13,7.0430514982037004e-65,1.25573962878588e-13,9.237827907794018e-43,4.287573401684328e-42,3.3932089644627666e-47,2.8140539415650466e-63,2.2881553316413263e-32,9.270545181343698e-40,1.064518313756443e-24,1.2829176198777606e-12,3.8541857155167764e-62,2.079244079900941e-42,5.486327400345123e-13,1.6920826553134896e-13,1.1170675688422366e-17,1.282895231172583e-12,4.270352931942979e-22,1.4843939675864188e-23,2.190215975099074e-30,2.1873767679714176e-25,1.0179525926872771e-35,2.3580808121977895e-44,1.115462465498277e-48,3.358477585529668e-50,6.871612055811866e-70,2.8155155472850475e-39,7.616848367988135e-44,9.525836573162144e-70,4.1096869120152927e-41
1.9350176139227537e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795155341,0.11866996602730365,0.022821567692939224,1.1602442998762827e-59,2.495481661065602e-40,5.0269070331274115e-23,2.7598632268990263e-44,1.428724039688985e-30,1.239518252038811e-32,1.7078073330908256e-13,3.058183732046707e-64,1.7078065126895928e-13,2.5924304018847576e-42,1.2505425480392347e-41,9.388179140277242e-47,9.515899395118814e-63,5.150778548067891e-32,3.437916814868448e-39,1.8955922304356405e-24,1.7447738209760166e-12,2.0465354004299313e-61,7.445265970458621e-42,7.461402624439108e-13,2.301233237430031e-13,1.9891432856551274e-17,1.7447339531548703e-12,9.61239009897032e-22,3.341808266436467e-23,5.0763680853681596e-30,3.8952851993330817e-25,2.2914941357284785e-35,6.524229592322293e-44,4.940451589273616e-48,1.540537348853838e-49,4.809632218226181e-69,1.0081648513622944e-38,2.82481154521319e-43,6.666235699742033e-69,1.471392166180227e-40
2.4472286696160612e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.412896679514352,0.11866996602659909,0.022821567692908766,3.9701058646138407e-59,5.663641960286792e-40,8.945774158018889e-23,6.244996591108719e-44,2.75091391422992e-30,2.3555518364476327e-32,2.1598746795251082e-13,9.260186428168052e-64,2.159873398869095e-13,5.935510897922458e-42,2.8615906656348935e-41,2.1243498672043608e-46,2.5710777884205267e-62,9.735635397026134e-32,8.993074708828431e-39,2.9590464283428008e-24,2.2066327366405672e-12,7.00280293796698e-61,1.967630112319263e-41,9.43647508864604e-13,2.9103838195415553e-13,3.105043749090842e-17,2.206570502249903e-12,1.816777813799882e-21,6.317130758972565e-23,9.812859319242023e-30,6.080937605546997e-25,4.3312599832190705e-35,1.4762967929569672e-43,1.4710043473343398e-47,4.4617312804099515e-49,1.5608713585875687e-68,2.6643673162258023e-38,7.389513144459306e-43,2.163216268196085e-68,3.888190946001348e-40
2.9594397253093686e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795131699,0.11866996602589452,0.022821567692878308,1.1609385435707288e-58,1.1037695851709775e-39,1.4325693856562198e-22,1.2057272910145895e-43,4.677215647700986e-30,3.9597017373386974e-32,2.611942123109174e-13,2.4040377430909435e-63,2.6119402871983194e-13,1.1574581107061503e-41,5.659228990037697e-41,4.101502272518146e-46,5.774385055674397e-62,1.6273268529074593e-31,2.0729746146459096e-38,4.242008292899007e-24,2.6684942166358563e-12,2.047759963807217e-60,4.458011879671661e-41,1.1411544945851014e-12,3.5195344016483393e-13,4.451255232464961e-17,2.6684049988323504e-12,3.036633637680421e-21,1.0560238354580434e-22,1.6751811667899316e-29,8.71794853644355e-25,7.239834862159072e-35,2.8502987009744808e-43,3.837650909566697e-47,1.1843973893717992e-48,5.549052958738796e-68,6.036578454163371e-38,1.703426768003187e-42,7.689335094725082e-68,8.8083588219828e-40
