Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241)
0.0,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9095136498423616e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,-4.5763093668164624e-113,1.2310491692054175e-65,1.5655349968895756e-51,7.419785604795547e-104,4.8961344771267175e-56,3.7703627134609944e-65,3.3167728423609603e-46,-1.0079295257179632e-157,2.923160393931767e-46,3.6643642483278924e-99,8.054017222368279e-69,2.7971046350791144e-106,-1.1348939920995168e-122,1.0610511589016714e-61,3.985921748230707e-84,2.028775574390659e-62,6.110102318279105e-23,-9.91249772954553e-119,1.3239727522407744e-82,6.840601289837371e-19,3.046647621807756e-18,3.554469494300267e-35,6.110102318272002e-23,9.183263918659642e-49,1.5655343295871902e-51,1.4866113099216363e-59,5.660792325955325e-38,5.264528915031278e-54,1.2891454236608312e-82,3.701887206495676e-94,1.882258780332196e-95,-6.016981865757008e-141,2.2850190502007198e-82
5.346638219558612e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,4.631343957058541e-111,2.7586529523639414e-64,1.8586033645585316e-50,4.273440031786739e-102,7.399038423244171e-55,1.1854623504172275e-63,1.056227580952179e-45,2.1243292032391384e-156,8.18485662096537e-46,1.0334093480464265e-97,2.5323119272403456e-67,1.6109894280992362e-104,1.0867676559804216e-120,1.2596799358486765e-60,9.580934859436618e-75,1.3657934019485517e-61,1.7108286491584792e-22,1.0031705197204572e-116,8.054372264500115e-81,1.9153683611544596e-18,8.530613341061721e-18,2.146899574597128e-34,1.710828649154189e-22,1.0902370924698072e-47,1.8586023561620202e-50,2.246567089088214e-58,3.419118564878832e-37,6.250048727915319e-53,7.424817520904787e-81,2.8565420406406192e-92,1.4524352183584178e-93,2.0156953986245648e-138,1.3900885973965325e-80
1.2220887358991114e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,9.698746321401306e-109,5.45491733667598e-63,1.8247878995041942e-49,1.916412234585729e-100,7.959547899051945e-54,2.644701290812122e-62,3.015452914784061e-45,2.668180664244095e-154,1.8708279146858264e-45,2.247891057057836e-96,5.649448610990452e-66,7.224356635149354e-103,2.262029149554914e-118,1.236761230817649e-59,8.622842180244965e-74,8.00587369565462e-61,3.9104654839809323e-22,2.1007933071045086e-114,3.6361286469138486e-79,4.377984825495888e-18,1.9498544779569644e-17,1.033639729002167e-33,3.910465483960276e-22,1.070401242500099e-46,1.8247868148027628e-49,2.416754366195092e-57,1.6461584083904777e-36,6.136334903329845e-52,3.329599813861525e-79,3.1131992490592117e-90,1.58293495996843e-91,2.189548496853291e-135,6.275524405650578e-79
2.5969385637856115e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599996,0.2012865879456902,0.1676987576445248,1.558643120102567e-106,9.710234590244534e-62,1.614004269792683e-48,7.210190516199431e-99,7.316195829838236e-53,4.953232823233763e-61,8.974402544328897e-45,2.7924069289671615e-152,3.975524448594685e-45,4.167211177988734e-95,1.0580792012912438e-64,2.7179864433048677e-101,3.6221289318566696e-116,1.0939013027851393e-58,6.994086202011355e-73,4.75294578247414e-60,8.309739154271105e-22,3.3760930808734386e-112,1.372932991623634e-77,9.303217754178678e-18,4.143440765658548e-17,4.514176258377714e-33,8.309739154180893e-22,9.467577772519797e-46,1.6140032729266707e-48,2.221413639110114e-56,7.189206253990597e-36,5.42751873017618e-51,1.2526786667007974e-77,2.546790283638463e-88,1.2949390984436363e-89,1.6074180794112002e-132,2.3695186099027693e-77
5.346638219558612e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559999,0.2012865879456902,0.16769875764452477,2.2284130865950877e-104,1.638057893518306e-60,1.3566678549321495e-47,2.4967769680847426e-97,6.2591595669720774e-52,8.555477921426673e-60,2.9054297653200496e-44,2.9460895964350247e-150,8.184965631333534e-45,7.162371290292225e-94,1.8275686948071352e-63,9.411544335377954e-100,5.168438306384635e-114,9.194899574926398e-58,5.604860611409931e-72,3.034417532529091e-59,1.710828649743251e-21,4.826845803238537e-110,4.7633423412297295e-76,1.9153683611543987e-17,8.530613341061712e-17,1.884579726432738e-32,1.7108286497055894e-21,7.958069584998911e-45,1.356667002369893e-47,1.9004661474437727e-55,3.001352091246008e-35,4.562156525186348e-50,4.33762850906441e-76,1.832943461997048e-86,9.319770976236061e-88,9.793811245785861e-130,8.22096081399487e-76
1.0846037531104613e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599979,0.20128658794569018,0.16769875764452472,3.012251004384036e-102,2.690745416413648e-59,1.1122782801572849e-46,8.307712252512171e-96,5.1751941738134493e-51,1.421505452878784e-58,1.0186207128813251e-43,3.283226299081827e-148,1.6604040456495867e-44,1.1871105158111703e-92,3.036532720981299e-62,3.131293536031245e-98,6.9793407246381155e-112,7.538534204019124e-57,4.484882093083302e-71,2.0978583171337523e-58,3.470538119407957e-21,6.5246749834666136e-108,1.5863918783184375e-74,3.8854615326273524e-17,1.7304958491868022e-16,7.699123108130913e-32,3.470538119254097e-21,6.524506256753456e-44,1.112277575701843e-46,1.5713421792547523e-54,1.2261502609919228e-34,3.740331553132047e-49,1.4431563272085378e-74,1.2424287599552853e-84,6.317244556737417e-86,5.461323125625059e-127,2.7379231926847884e-74
2.1844836154196618e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599958,0.20128658794569015,0.16769875764452463,3.9615147143195146e-100,4.361999710703109e-58,9.007517919322936e-46,2.710903176936356e-94,4.2083819604897836e-50,2.3174126590598966e-57,3.780695523712408e-43,3.8607945360975455e-146,3.344295994555998e-44,1.932901739257027e-91,4.9503147196072096e-61,1.0215949495582712e-96,9.174065824308171e-110,6.104900448211863e-56,3.5881170757553445e-70,1.5418111056840392e-57,6.989957062867066e-21,8.580824080058146e-106,5.178247316921007e-73,7.825647875572827e-17,3.4853648793480567e-16,3.112108660659075e-31,6.989957062245142e-21,5.283714333512351e-43,9.007512198283481e-46,1.2777893918497355e-53,4.956295399575591e-34,3.029017466203344e-48,4.7083051452060385e-73,8.180708822585398e-83,4.159557907845146e-84,2.9169654741155595e-124,8.937037328377e-73
4.384243340038062e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599915,0.20128658794569007,0.16769875764452447,5.1396173117591516e-98,7.025014880938031e-57,7.250034075824468e-45,8.762212800325776e-93,3.3942125195883936e-49,3.742627639078656e-56,1.4528522509463467e-42,4.713294617361009e-144,6.712387827865324e-44,3.1197112083479657e-90,7.994771505205722e-60,3.300831552061065e-95,1.1899248988860686e-107,4.913754995216234e-55,2.8708762704350427e-69,1.1779270882425967e-56,1.4028794966304086e-20,1.1132648790403919e-103,1.6735200587649591e-71,1.5706020561462046e-16,6.995102939670538e-16,1.251365206480084e-30,1.4028794963803347e-20,4.252792980515308e-42,7.250029473657611e-45,1.0305834805851166e-52,1.99290458165974e-33,2.438016775095234e-47,1.5212541039352223e-71,5.310167969659847e-81,2.700005135447118e-82,1.5252447026985282e-121,2.8882960460273786e-71
8.783762789274863e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599829,0.2012865879456899,0.1676987576445241,6.623162430943633e-96,1.1276823936933805e-55,5.81769577214647e-44,2.8195454483603485e-91,2.726416095944656e-48,6.016164636882429e-55,5.691888602979409e-42,5.883565901675939e-142,1.3449803236475762e-43,5.013292187629645e-89,1.2851361730745567e-58,1.061398615651263e-93,1.5331977353661397e-105,3.942978926437067e-54,2.2979006829209124e-68,9.199455855361432e-56,2.8106470839253295e-20,1.4346076129412224e-101,5.381789739131743e-70,3.146676593323356e-16,1.401457906031539e-15,5.018534177427885e-30,2.8106470829224226e-20,3.412598554810268e-41,5.817692094808491e-44,8.27820769367218e-52,7.992438721372587e-33,1.9563549206486298e-46,4.891499245697595e-70,3.4225427089260197e-79,1.74022495039241e-80,7.891649646830609e-119,9.288327304837437e-70
